Anim,,,,,base, ,,,Blend ,No ,No,,Flex,Swim,Horse,Horse Sock
NIFS,name,NIF Name,frames,fps, fps,type,hit time,Exp Only,Time,Blend Out,Strip,Precache,Anim,Alt,Alt,Alt
1,sprite_attack1,sprite_attackhi.kfa,18,15,15,clamp,0,0,0,0,0,0,0,,,
2,spirte attack 2,sprite_attacklo.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
3,sprite combat idle,sprite_combatidle.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
4,sprite die,sprite_die.kfa,22,15,15,clamp,0,0,0,0,0,0,0,,,
5,sprite flinch,sprite_flinch.kfa,11,15,15,clamp,0,0,0,0,0,0,0,,,
6,sprite idle 1,sprite_idle.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
7,sprite idle2,sprite_idle2.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
8,sprite run,sprite_run.kfa,16,15,15,loop,0,0,0,0,0,0,0,,,
9,sprite swim,sprite_swim.kfa,25,15,15,loop,0,0,0,0,0,0,0,,,
10,sprite walk,sprite_walk.kfa,20,15,15,loop,0,0,0,0,0,0,0,,,
11,arachite attack high,sect_ahi.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
12,arachite attack low,sect_alo.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
13,arachite combat idle,sect_cidle.kfa,15,15,15,loop,0,0,0,0,0,0,0,,,
14,arachite death,sect_deth.kfa,8,15,15,clamp,0,0,0,0,0,0,0,,,
15,arachite flinch,sect_flinch.kfa,8,15,15,clamp,0,0,0,0,0,0,0,,,
16,arachite run,sect_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
17,arachite spell a,sect_spa.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
18,arachite spell b,sect_spb.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
19,arachite spell c,sect_spc.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
20,arachite walk,sect_walk.kfa,20,15,15,loop,0,0,0,0,0,0,0,,,
21,arachite idle,sect_idle.kfa,20,15,15,loop,0,0,0,0,0,0,0,,,
22,Arachite tail attack,sect_atail.kfa,12,15,15,clamp,0,0,0,0,0,0,0,,,
23,Troll Walk,troll_walk.kfa,22,15,15,loop,0,0,0,0,0,0,0,1847,3420,
24,Troll run,troll_run.kfa,18,15,15,loop,0,0,0,0,0,0,0,1847,3419,
25,Troll Spellcast a,troll_sp_a.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
26,Troll Spellcast b,troll_sp_b.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
27,Troll Spellcast c,troll_sp_c.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
28,Troll sit a,s_tm_a.kfa,14,15,15,clamp,0,0,0,1,0,0,0,2196,3249,
29,Troll sit b,s_tm_b.kfa,30,15,15,loop,0,0,0,1,0,0,0,2197,3249,
30,Troll sit c,s_tm_c.kfa,14,15,15,clamp,0,0,0,1,0,0,0,,,
31,Male Troll Idle,troll_idle.kfa,25,2,15,loop,0,0,0,0,0,0,0,1739,3418,
32,Troll Female Idle,trollf_idle.kfa,25,2,15,loop,0,0,0,0,0,0,0,1739,3418,
33,Ogre run,ogre_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,,3419,
34,Ogre Walk,ogre_walk.kfa,22,15,15,loop,0,0,0,0,0,0,0,,3420,
35,Ogre Idle,ogre_idle.kfa,16,9,15,loop,0,0,0,0,0,0,0,,3421,
36,Land (after jump),ju_h_b.kfa,20,20,15,clamp,0,0,0,0,0,0,0,,3418,
37,beckon,em_pointhere.kfa,20,15,15,clamp,0,0,0,0,0,0,0,2217,3249,
38,blush,em_blushkick.kfa,25,15,15,clamp,0,0,0,0,0,0,0,1739,3249,
39,bow,em_bow.kfa,25,15,15,clamp,0,0,0,0,0,0,0,1739,3249,
40,cheer,em_cheer.kfa,20,15,15,clamp,0,0,0,0,0,0,0,2211,3370,
