id,,,,,,,,,,,,,,,,,
#,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1, Briton Male,,,,,,,,,,,,,,,,
2, Briton Female,,,,,,,,,,,,,,,,
3, Saracen Male,,,,,,,,,,,,,,,,
4, Saracen Female,,,,,,,,,,,,,,,,
5, Frostalf Male,,,,,,,,,,,,,,,,
6, Frostalf Female,,,,,,,,,,,,,,,,
7, Shar Male,0,6033,6034,6035,6036,6037,6038,,,,,,,,,
8, Shar Female,0,6033,6034,6035,6036,6037,6038,,,,,,,,,
9, Avalonian Male,,,,,,,,,,,,,,,,
10, Avalonian Female,,,,,,,,,,,,,,,,
11, Elf Male,,,,,,,,,,,,,,,,
12, Elf Female,,,,,,,,,,,,,,,,
13, Highlander Male,,,,,,,,,,,,,,,,
14, Highlander Female,,,,,,,,,,,,,,,,
15, Norse Male,,,,,,,,,,,,,,,,
16, Norse Female,,,,,,,,,,,,,,,,
17, Lurikeen Male,,,,,,,,,,,,,,,,
18, Lurikeen Female,,,,,,,,,,,,,,,,
19, Kobold Male,,,,,,,,,,,,,,,,
20, Kobold Female,,,,,,,,,,,,,,,,
21, Dwarf Male,,,,,,,,,,,,,,,,
22, Dwarf Female,,,,,,,,,,,,,,,,
23, Inconnu Male,,,,,,,,,,,,,,,,
24, Inconnu Female,,,,,,,,,,,,,,,,
25, Half Ogre Male,,,,,,,,,,,,,,,,
26, Half Ogre Female,,,,,,,,,,,,,,,,
27, Valkyn Male,,,,,,,,,,,,,,,,
28, Valkyn Female,,,,,,,,,,,,,,,,
29, Firbolg Male,,,,,,,,,,,,,,,,
30, Firbolg Female,,,,,,,,,,,,,,,,
31, Troll Male,0,3538,3539,3540,3541,3542,3543,3544,3545,3546,3547,3548,3549,3550,3551,3552
32, Troll Female,0,3517,3518,3519,3520,3521,3522,3523,3524,3525,3526,3527,3528,3529,3530,3531
33, Celt Male,0,6502,6503,6504,6505,6506,,,,,,,,,,
34, Celt Female,0,6507,6508,6509,6510,6511,,,,,,,,,,
35, Sylvan Male,,,,,,,,,,,,,,,,
36, Sylvan Female,,,,,,,,,,,,,,,,
37,Celt Bainshee,,,,,,,,,,,,,,,,
38,Luri Bainshee,,,,,,,,,,,,,,,,
39,Elf Bainshee,,,,,,,,,,,,,,,,
189, Highlander Female,,,,,,,,,,,,,,,,
190, Highlander Female,,,,,,,,,,,,,,,,
191, Highlander Female,,,,,,,,,,,,,,,,
192, Highlander Female,,,,,,,,,,,,,,,,
193, Highlander Female,,,,,,,,,,,,,,,,
194, Highlander Female,,,,,,,,,,,,,,,,
195, Highlander Male,,,,,,,,,,,,,,,,
196, Highlander Male,,,,,,,,,,,,,,,,
197, Highlander Male,,,,,,,,,,,,,,,,
198, Highlander Male,,,,,,,,,,,,,,,,
199, Highlander Male,,,,,,,,,,,,,,,,
200, Highlander Male,,,,,,,,,,,,,,,,
