id,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,part,desc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,Briton Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
1,1,Briton Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Bald,Hair 8,,,,,,,,,,,,,,,,,
1,2,Briton Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Briton Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
1,4,Briton Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
2,0,Briton Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
2,1,Briton Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,,,,,,,,,,,,,,,,,,,
2,2,Briton Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Briton Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
2,4,Briton Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
3,0,Saracen Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
3,1,Saracen Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
3,2,Saracen Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Saracen Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
3,4,Saracen Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
4,0,Saracen Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
4,1,Saracen Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
4,2,Saracen Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Saracen Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
4,4,Saracen Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
5,0,Frostalf Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
5,1,Frostalf Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
5,2,Frostalf Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,Frostalf Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
5,4,Frostalf Male Morphs,Nose,Eyes,Lips,Ears,,,,,,,,,,,,,,,,,,,,,
6,0,Frostalf Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
6,1,Frostalf Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
6,2,Frostalf Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Frostalf Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
6,4,Frostalf Female Morphs,Nose,Eyes,Lips,Ears,,,,,,,,,,,,,,,,,,,,,
7,0,Shar Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
7,1,Shar Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,,,,,,,,,,,,,,,,,,,,
7,2,Shar Male Tattoo,No Tattoo,Tattoo 1,Tattoo 2,Tattoo 3,Tattoo 4,Tattoo 5,Tattoo 6,,,,,,,,,,,,,,,,,,
7,3,Shar Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
7,4,Shar Male Morphs,Nose,Eyes,Jaw,Spines,,,,,,,,,,,,,,,,,,,,,
8,0,Shar Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
8,1,Shar Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
8,2,Shar Female Tattoo,No Tattoo,Tattoo 1,Tattoo 2,Tattoo 3,Tattoo 4,Tattoo 5,Tattoo 6,,,,,,,,,,,,,,,,,,
8,3,Shar Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
8,4,Shar Female Morphs,Nose,Eyes,Jaw,Spines,,,,,,,,,,,,,,,,,,,,,
9,0,Avalonian Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
9,1,Avalonian Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
9,2,Avalonian Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,Avalonian Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
9,4,Avalonian Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
10,0,Avalonian Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
10,1,Avalonian Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,,,,,,,,,,,,,,,,,,,
10,2,Avalonian Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,Avalonian Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
10,4,Avalonian Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
11,0,Elf Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
