id,,,,,,,,,
#,Description,1,2,3,4,5,6,7,8
1,Cata Briton Male,6275,6276,6277,6278,6279,6280,6281,6282
2,Cata Briton Female,6268,6269,6270,6271,6272,6273,6274,6355
3,Cata Saracen Male,6465,6466,6467,6468,6469,6470,6471,6472
4,Cata Saracen Female,6457,6458,6459,6460,6461,6462,6463,6464
5,Cata Frostalf Male,6417,6418,6419,6420,6421,6422,6423,6424
6,Cata Frostalf Female,6409,6410,6411,6412,6413,6414,6415,6416
7,Cata Shar Male,6299,6300,6301,6302,6303,6304,6305,6306
8,Cata Shar Female,6299,6300,6301,6302,6303,6304,6305,6306
9,Cata Avalonian Male,6275,6276,6277,6278,6279,6280,6281,6282
10,Cata Avalonian Female,6268,6269,6270,6271,6272,6273,6274,6355
11,Cata Elf Male,6385,6386,6387,6388,6389,6390,6391,6392
12,Cata Elf Female,6377,6378,6379,6380,6381,6382,6383,6384
13,Cata Highlander Male,6512,6513,6514,6515,6516,6517,6518,6519
14,Cata Highlander Female,6268,6269,6270,6271,6272,6273,6274,6355
15,Cata Norse Male,6520,6521,6522,6523,6524,6525,6526,6527
16,Cata Norse Female,6268,6269,6270,6271,6272,6273,6274,6355
17,Cata Lurikeen Male,6347,6348,6349,6350,6351,6352,6353,6354
18,Cata Lurikeen Female,6339,6340,6341,6342,6343,6344,6345,6346
19,Cata Kobold Male,6449,6450,6451,6452,6453,6454,6455,6456
20,Cata Kobold Female,6441,6442,6443,6444,6445,6446,6447,6448
21,Cata Dwarf Male,6369,6370,6371,6372,6373,6374,6375,6376
22,Cata Dwarf Female,6361,6362,6363,6364,6365,6366,6367,6368
23,Cata Inconnu Male,6291,6292,6293,6294,6295,6296,6297,6298
24,Cata Inconnu Female,6283,6284,6285,6286,6287,6288,6289,6290
25,Cata Half Ogre Male,6433,6434,6435,6436,6437,6438,6439,6440
26,Cata Half Ogre Female,6425,6426,6427,6428,6429,6430,6431,6432
27,Cata Valkyn Male,6331,6332,6333,6334,6335,6336,6337,6338
28,Cata Valkyn Female,6323,6324,6325,6326,6327,6328,6329,6330
29,Cata Firbolg Male,6401,6402,6403,6404,6405,6406,6407,6408
30,Cata Firbolg Female,6393,6394,6395,6396,6397,6398,6399,6400
31,Cata Troll Male,6315,6316,6317,6318,6319,6320,6321,6322
32,Cata Troll Female,6315,6316,6317,6318,6319,6320,6321,6322
33,Cata Celt Male,6275,6276,6277,6278,6279,6280,6281,6282
34,Cata Celt Female,6268,6269,6270,6271,6272,6273,6274,6355
35,Cata Sylvan Male,6307,6308,6309,6310,6311,6312,6313,6314
36,Cata Sylvan Female,6307,6308,6309,6310,6311,6312,6313,6314
37,Celt Bainshee,6268,6269,6270,6271,6272,6273,6274,6355
38,Luri Bainshee,6339,6340,6341,6342,6343,6344,6345,6346
39,Elf Bainshee,6377,6378,6379,6380,6381,6382,6383,6384
61,Mino Albion Male,6940,6941,6942,6943,6944,6945,6946,6947
62,Mino Mid Male,6940,6941,6942,6943,6944,6945,6946,6947
63,Mino Hib Male,6940,6941,6942,6943,6944,6945,6946,6947
189,pict F1,6268,6269,6270,6271,6272,6273,6274,6355
190,pict F2,6268,6269,6270,6271,6272,6273,6274,6355
191,Pict F3,6268,6269,6270,6271,6272,6273,6274,6355
192,Snow Pict F1,6268,6269,6270,6271,6272,6273,6274,6355
193,Snow Pict F2,6268,6269,6270,6271,6272,6273,6274,6355
194,Snow Pict F3,6268,6269,6270,6271,6272,6273,6274,6355
195,Pict Male 1,6512,6513,6514,6515,6516,6517,6518,6519
196,Pict Male 1,6512,6513,6514,6515,6516,6517,6518,6519
197,Pict Male 1,6512,6513,6514,6515,6516,6517,6518,6519
198,Pict Male 1,6512,6513,6514,6515,6516,6517,6518,6519
199,Pict Male 1,6512,6513,6514,6515,6516,6517,6518,6519
200,Pict Male 1,6512,6513,6514,6515,6516,6517,6518,6519
