,hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,style #,Description,1S,1T,1M,2S,2T,2M,3S,3T,3M,4S,4T,4M,5S,5T,5M,6S,6T,6M,7S,7T,7M,8S,8T,8M,9S,9T,9M,10S,10T,10M,11S,11T,11M,12S,12T,12M,13S,13T,13M,14S,14T,14M,15S,15T,15M,16S,16T,16M
1,1,Cata Briton Male,3804,188,,3804,125,,3807,188,,3804,103,,3807,101,,3804,128,,3804,97,,3804,100,,3804,105,,3804,124,,3805,253,,3806,107,,3806,188,,3806,106,,3806,108,,3806,98,
1,2,Cata Briton Male,3808,188,,3808,125,,3811,188,,3808,103,,3811,101,,3808,128,,3808,97,,3808,100,,3808,105,,3808,124,,3809,253,,3810,107,,3810,188,,3810,106,,3810,108,,3810,98,
1,3,Cata Briton Male,3812,188,,3812,125,,3815,188,,3812,103,,3815,101,,3812,128,,3812,97,,3812,100,,3812,105,,3812,124,,3813,253,,3814,107,,3814,188,,3814,106,,3814,108,,3814,98,
1,4,Cata Briton Male,3804,188,,3804,125,,3807,188,,3804,103,,3807,101,,3804,128,,3804,97,,3804,100,,3804,105,,3804,124,,3805,253,,3806,107,,3806,188,,3806,106,,3806,108,,3806,98,
1,5,Cata Briton Male,3808,188,,3808,125,,3811,188,,3808,103,,3811,101,,3808,128,,3808,97,,3808,100,,3808,105,,3808,124,,3809,253,,3810,107,,3810,188,,3810,106,,3810,108,,3810,98,
1,6,Cata Briton Male,3808,188,,3808,125,,3811,188,,3808,103,,3811,101,,3808,128,,3808,97,,3808,100,,3808,105,,3808,124,,3809,253,,3810,107,,3810,188,,3810,106,,3810,108,,3810,98,
1,7,Cata Briton Male,3804,188,,3804,125,,3807,188,,3804,103,,3807,101,,3804,128,,3804,97,,3804,100,,3804,105,,3804,124,,3805,253,,3806,107,,3806,188,,3806,106,,3806,108,,3806,98,
1,8,Cata Briton Male,3808,188,,3808,125,,3811,188,,3808,103,,3811,101,,3808,128,,3808,97,,3808,100,,3808,105,,3808,124,,3809,253,,3810,107,,3810,188,,3810,106,,3810,108,,3810,98,
2,1,Cata Briton Female,3788,188,,3788,125,,3791,249,,3788,103,,3791,101,,3788,128,,3788,97,,3788,100,,3788,105,,3788,124,,3789,253,,3790,107,,3790,188,,3790,106,,3790,108,,3790,98,
2,2,Cata Briton Female,3792,188,6476,3792,125,6476,3795,249,6476,3792,103,6476,3795,101,6476,3792,128,6476,3792,97,6476,3792,100,6476,3792,105,6476,3792,124,6476,3793,253,6476,3794,107,6476,3794,188,6476,3794,106,6476,3794,108,6476,3794,98,6476
2,3,Cata Briton Female,3796,188,,3796,125,,3799,249,,3796,103,,3799,101,,3796,128,,3796,97,,3796,100,,3796,105,,3796,124,,3797,253,,3798,107,,3798,188,,3798,106,,3798,108,,3798,98,
2,4,Cata Briton Female,3800,188,6475,3800,125,6475,3803,249,6475,3800,103,6475,3803,101,6475,3800,128,6475,3800,97,6475,3800,100,6475,3800,105,6475,3800,124,6475,3801,253,6475,3802,107,6475,3802,188,6475,3802,106,6475,3802,108,6475,3802,98,6475
2,5,Cata Briton Female,3792,188,6476,3792,125,6476,3795,249,6476,3792,103,6476,3795,101,6476,3792,128,6476,3792,97,6476,3792,100,6476,3792,105,6476,3792,124,6476,3793,253,6476,3794,107,6476,3794,188,6476,3794,106,6476,3794,108,6476,3794,98,6476
2,6,Cata Briton Female,3800,188,6475,3800,125,6475,3803,249,6475,3800,103,6475,3803,101,6475,3800,128,6475,3800,97,6475,3800,100,6475,3800,105,6475,3800,124,6475,3801,253,6475,3802,107,6475,3802,188,6475,3802,106,6475,3802,108,6475,3802,98,6475
3,1,Cata Saracen Male,3827,265,6267,3824,121,6267,3826,105,6267,3826,127,6267,3824,266,6267,3824,267,6267,3826,268,6267,3826,269,6267,3825,270,6267,3826,271,6267,3826,98,6267,3826,98,6267,3824,272,6267,3825,225,6267,3825,110,6267,3825,224,6267
3,2,Cata Saracen Male,3831,265,6491,3828,121,6491,3828,105,6491,3828,127,6491,3829,266,6491,3830,267,6491,3830,268,6491,3830,269,6491,3829,270,6491,3830,271,6491,3830,98,6491,3830,188,6491,3828,272,6491,3829,225,6491,3829,110,6491,3829,224,6491
3,3,Cata Saracen Male,3831,265,6491,3828,121,6491,3828,105,6491,3828,127,6491,3829,266,6491,3830,267,6491,3830,268,6491,3830,269,6491,3829,270,6491,3830,271,6491,3830,98,6491,3830,188,6491,3828,272,6491,3829,225,6491,3829,110,6491,3829,224,6491
3,4,Cata Saracen Male,3834,265,,3834,121,,3834,105,,3834,127,,3834,266,,3834,267,,3834,268,,3834,269,,3834,269,,3834,271,,3834,98,,3834,188,,3834,272,,3833,225,,3833,110,,3833,224,
3,5,Cata Saracen Male,3827,265,6267,3824,121,6267,3826,105,6267,3826,127,6267,3824,266,6267,3824,267,6267,3826,268,6267,3826,269,6267,3825,270,6267,3826,271,6267,3826,98,6267,3826,98,6267,3824,272,6267,3825,225,6267,3825,110,6267,3825,224,6267
3,6,Cata Saracen Male,3831,265,6491,3828,121,6491,3828,105,6491,3828,127,6491,3829,266,6491,3830,267,6491,3830,268,6491,3830,269,6491,3829,270,6491,3830,271,6491,3830,98,6491,3830,188,6491,3828,272,6491,3829,225,6491,3829,110,6491,3829,224,6491
3,7,Cata Saracen Male,3827,265,6267,3824,121,6267,3826,105,6267,3826,127,6267,3824,266,6267,3824,267,6267,3826,268,6267,3826,269,6267,3825,270,6267,3826,271,6267,3826,98,6267,3826,98,6267,3824,272,6267,3825,225,6267,3825,110,6267,3825,224,6267
3,8,Cata Saracen Male,3827,265,6267,3824,121,6267,3826,105,6267,3826,127,6267,3824,266,6267,3824,267,6267,3826,268,6267,3826,269,6267,3825,270,6267,3826,271,6267,3826,98,6267,3826,98,6267,3824,272,6267,3825,225,6267,3825,110,6267,3825,224,6267
4,1,Cata Saracen Female,3819,265,6266,3816,121,6266,3816,105,6266,3816,127,6266,3817,266,6266,3818,267,6266,3818,268,6266,3818,269,6266,3817,270,6266,3818,271,6266,3818,98,6266,3818,188,6266,3816,272,6266,3817,225,6266,3817,110,6266,3817,224,6266
4,2,Cata Saracen Female,3819,265,6266,3816,121,6266,3816,105,6266,3816,127,6266,3817,266,6266,3818,267,6266,3818,268,6266,3818,269,6266,3817,270,6266,3818,271,6266,3818,98,6266,3818,188,6266,3816,272,6266,3817,225,6266,3817,110,6266,3817,224,6266
4,3,Cata Saracen Female,3831,265,6491,3828,121,6491,3828,105,6491,3828,127,6491,3829,266,6491,3830,267,6491,3830,268,6491,3830,269,6491,3829,270,6491,3830,271,6491,3830,98,6491,3830,188,6491,3828,272,6491,3829,225,6491,3829,110,6491,3829,224,6491
4,4,Cata Saracen Female,3802,265,6475,3802,121,6475,3802,105,6475,3802,127,6475,3802,266,6475,3802,267,6475,3802,268,6475,3802,269,6475,3801,270,6475,3802,271,6475,3802,98,6475,3802,188,6475,3800,272,6475,3801,225,6475,3801,110,6475,3801,224,6475
5,1,Cata Frostalf Male,3440,188,,3440,115,,3440,116,,3440,113,,3437,99,,3437,103,,3440,101,,3437,114,,3438,111,,3438,112,,3438,110,,3438,118,,3439,109,,3439,108,,3439,98,,3439,117,
5,2,Cata Frostalf Male,3444,188,,3444,115,,3444,116,,3444,113,,3441,99,,3441,103,,3444,101,,3441,114,,3442,111,,3442,112,,3442,110,,3442,118,,3443,109,,3443,108,,3443,98,,3443,117,
5,3,Cata Frostalf Male,3444,188,,3444,115,,3444,116,,3444,113,,3441,99,,3441,103,,3444,101,,3441,114,,3442,111,,3442,112,,3442,110,,3442,118,,3443,109,,3443,108,,3443,98,,3443,117,
5,4,Cata Frostalf Male,3440,188,,3440,115,,3440,116,,3440,113,,3437,99,,3437,103,,3440,101,,3437,114,,3438,111,,3438,112,,3438,110,,3438,118,,3439,109,,3439,108,,3439,98,,3439,117,
6,1,Cata Frostalf Female,3440,188,,3440,115,,3440,116,,3440,113,,3437,99,,3437,103,,3440,101,,3437,114,,3438,111,,3438,112,,3438,110,,3438,118,,3439,109,,3439,108,,3439,98,,3439,117,
6,2,Cata Frostalf Female,3436,188,6484,3436,115,6484,3436,116,6484,3436,113,6484,3433,99,6484,3433,103,6484,3436,101,6484,3433,114,6484,3434,111,6484,3434,112,6484,3434,110,6484,3434,118,6484,3435,109,6484,3435,108,6484,3435,98,6484,3435,117,6484
6,3,Cata Frostalf Female,3452,188,6489,3452,115,6489,3452,116,6489,3452,113,6489,3449,99,6489,3449,103,6489,3452,101,6489,3449,114,6489,3450,111,6489,3450,112,6489,3450,110,6489,3450,118,6489,3451,109,6489,3451,108,6489,3451,98,6489,3451,117,6489
6,4,Cata Frostalf Female,3562,188,,3562,115,,3562,116,,3562,113,,3559,99,,3559,103,,3562,101,,3559,114,,3560,111,,3560,112,,3560,110,,3560,118,,3561,109,,3561,108,,3561,98,,3561,117,
7,1,Cata Shar Male,3955,102,,3952,188,,3952,125,,3952,126,,3955,116,,3952,99,,3952,128,,3952,97,,3952,100,,3952,121,,3952,114,,3952,124,,3953,110,,3954,107,,3954,188,,3954,106,
7,2,Cata Shar Male,3959,102,,3956,188,,3956,125,,3956,126,,3959,116,,3956,99,,3956,128,,3956,97,,3956,100,,3956,121,,3956,114,,3956,124,,3957,110,,3958,107,,3958,188,,3958,106,
7,3,Cata Shar Male,3963,102,6358,3960,188,6358,3960,125,6358,3960,126,6358,3963,116,6358,3960,99,6358,3960,128,6358,3960,97,6358,3960,100,6358,3960,121,6358,3960,114,6358,3960,124,6358,3961,110,6358,3962,107,6358,3962,188,6358,3962,106,6358
7,4,Cata Shar Male,3967,102,6357,3964,188,6357,3964,125,6357,3964,126,6357,3967,116,6357,3964,99,6357,3964,128,6357,3964,97,6357,3964,100,6357,3964,121,6357,3964,114,6357,3964,124,6357,3965,110,6357,3966,107,6357,3966,188,6357,3966,106,6357
7,5,Cata Shar Male,3959,102,,3956,188,,3956,125,,3956,126,,3959,116,,3956,99,,3956,128,,3956,97,,3956,100,,3956,121,,3956,114,,3956,124,,3957,110,,3958,107,,3958,188,,3958,106,
8,1,Cata Shar Female,3993,102,,3990,188,,3990,125,,3990,126,,3993,116,,3990,99,,3990,128,,3990,97,,3990,100,,3990,121,,3990,114,,3990,124,,3991,110,,3992,107,,3992,188,,3992,106,
8,2,Cata Shar Female,3993,102,,3990,188,,3990,125,,3990,126,,3993,116,,3990,99,,3990,128,,3990,97,,3990,100,,3990,121,,3990,114,,3990,124,,3991,110,,3992,107,,3992,188,,3992,106,
8,3,Cata Shar Female,3951,102,,3948,188,,3948,125,,3948,126,,3951,116,,3948,99,,3948,128,,3948,97,,3948,100,,3948,121,,3948,114,,3948,124,,3949,110,,3950,107,,3950,188,,3950,106,
8,4,Cata Shar Female,3440,102,,3437,188,,3437,125,,3437,126,,3440,116,,3437,99,,3437,128,,3437,97,,3437,100,,3437,121,,3437,114,,3437,124,,3438,110,,3439,107,,3439,188,,3439,106,
9,1,Cata Avalonian Male,3886,102,6477,3886,250,6477,3883,103,6477,3883,251,6477,3886,252,6477,3886,254,6477,3883,103,6477,3886,101,6477,3883,128,6477,3883,97,6477,3883,100,6477,3883,255,6477,3883,256,6477,3883,257,6477,3885,107,6477,3885,98,6477
9,2,Cata Avalonian Male,3512,102,,3512,250,,3509,103,,3509,251,,3512,252,,3512,254,,3509,103,,3512,101,,3509,128,,3509,97,,3509,100,,3509,255,,3509,256,,3509,257,,3511,107,,3511,98,
9,3,Cata Avalonian Male,3570,102,6474,3570,250,6474,3567,103,6474,3567,251,6474,3570,252,6474,3570,254,6474,3567,103,6474,3570,101,6474,3567,128,6474,3567,97,6474,3567,100,6474,3567,255,6474,3567,256,6474,3567,257,6474,3569,107,6474,3569,98,6474
9,4,Cata Avalonian Male,3886,102,6477,3886,250,6477,3883,103,6477,3883,251,6477,3886,252,6477,3886,254,6477,3883,103,6477,3886,101,6477,3883,128,6477,3883,97,6477,3883,100,6477,3883,255,6477,3883,256,6477,3883,257,6477,3885,107,6477,3885,98,6477
