ID,Text,Part,Expansion,Test,Archive,Double
Num,Desc,Filename,Min,Status,,Sided
1,Briton Male Head,bri_m_Head01,4,1,7,
2,Briton Male Cloak,Cloak01_bri_m,4,1,10,
3,Briton Male Cloak,Cloak02_bri_m,4,1,12,
4,Briton Male Cloak,Cloak03_bri_m,4,1,10,
5,Briton Male Hair,bri_m_Hair01,4,1,15,1
6,Briton Male Hair,bri_m_Hair02,4,1,15,1
7,Briton Male Hair,bri_m_Hair03,4,1,15,1
8,Briton Male Hair,bri_m_Hair04,4,1,7,1
9,Briton Female Head,bri_f_Head01,4,1,15,
10,Briton Female Cloak,Cloak01_bri_f,4,1,10,
11,Briton Female Cloak,Cloak02_bri_f,4,1,12,
12,Briton Female Cloak,Cloak03_bri_f,4,1,10,
13,Briton Female Hair,bri_f_Hair01,4,1,10,0
14,Briton Female Hair,bri_f_Hair02,4,1,10,1
15,Briton Female Hair,bri_f_Hair03,4,1,10,1
16,Briton Female Hair,bri_f_Hair04,4,1,10,1
17,Saracen Male Head,sar_m_Head01,4,1,7,
18,Saracen Male Cloak,Cloak01_sar_m,4,1,10,
19,Saracen Male Cloak,Cloak02_sar_m,4,1,12,
20,Saracen Male Cloak,Cloak03_sar_m,4,1,10,
21,Saracen Male Hair,sar_m_Hair01,4,1,15,1
22,Saracen Male Hair,sar_m_Hair02,4,1,15,1
23,Saracen Male Hair,sar_m_Hair03,4,1,15,1
24,Saracen Male Hair,sar_m_Hair04,4,1,15,1
25,Saracen Female Head,sar_f_Head01,4,1,15,
26,Saracen Female Cloak,Cloak01_sar_f,4,1,10,
27,Saracen Female Cloak,Cloak02_sar_f,4,1,12,
28,Saracen Female Cloak,Cloak03_sar_f,4,1,10,
29,Saracen Female Hair,sar_f_Hair01,4,1,7,1
30,Saracen Female Hair,sar_f_Hair02,4,1,7,1
31,Saracen Female Hair,sar_f_Hair03,4,1,10,1
32,Saracen Female Hair,sar_f_Hair04,4,1,10,1
33,Frostalf Male Head,fro_m_Head01,4,1,8,
34,Frostalf Male Cloak,Cloak01_fro_m,4,1,10,
35,Frostalf Male Cloak,Cloak02_fro_m,4,1,12,
36,Frostalf Male Cloak,Cloak03_fro_m,4,1,10,
37,Frostalf Male Hair,fro_m_Hair01,4,1,15,1
38,Frostalf Male Hair,fro_m_Hair02,4,1,15,1
39,Frostalf Male Hair,fro_m_Hair03,4,1,10,0
40,Frostalf Male Hair,fro_m_hair07,4,1,11,1
41,Frostalf Female Head,fro_f_Head01,4,1,15,
42,Frostalf Female Cloak,Cloak01_fro_f,4,1,10,
43,Frostalf Female Cloak,Cloak02_fro_f,4,1,12,
44,Frostalf Female Cloak,Cloak03_fro_f,4,1,10,
45,Frostalf Female Hair,fro_f_Hair01,4,1,9,1
46,Frostalf Female Hair,fro_f_Hair02,4,1,10,1
47,Frostalf Female Hair,fro_f_Hair03,4,1,9,1
48,Frostalf Female Hair,fro_f_Hair04,4,1,10,1
49,Shar Male Head,sha_m_Head01,4,1,8,
50,Shar Male Cloak,Cloak01_sha_m,4,1,10,
51,Shar Male Cloak,Cloak02_sha_m,4,1,12,
52,Shar Male Cloak,Cloak03_sha_m,4,1,10,
53,Shar Male Hair,sha_m_Hair01,4,1,15,1
54,Shar Male Hair,sha_m_Hair02,4,1,15,1
55,Shar Male Hair,sha_m_Hair03,4,1,10,1
56,Shar Male Hair,sha_m_Hair04,4,1,15,1
57,Shar Female Head,sha_f_Head01,4,1,8,
58,Shar Female Cloak,Cloak01_sha_f,4,1,10,
59,Shar Female Cloak,Cloak02_sha_f,4,1,12,
60,Shar Female Cloak,Cloak03_sha_f,4,1,10,
61,Shar Female Hair,sha_f_Hair01,4,1,8,1
62,Shar Female Hair,sha_f_Hair02,4,1,8,1
63,Shar Female Hair,sha_f_Hair03,4,1,8,1
64,Shar Female Hair,sha_f_Hair04,4,1,9,1
65,Avalonian Male Head,ava_m_Head01,4,1,7,
66,Avalonian Male Cloak,Cloak01_ava_m,4,1,10,
67,Avalonian Male Cloak,Cloak02_ava_m,4,1,12,
68,Avalonian Male Cloak,Cloak03_ava_m,4,1,10,
69,Avalonian Male Hair,ava_m_Hair01,4,1,15,1
70,Avalonian Male Hair,ava_m_Hair02,4,1,15,0
71,Avalonian Male Hair,ava_m_Hair03,4,1,15,1
72,Avalonian Male Hair,ava_m_Hair04,4,1,15,1
73,Avalonian Female Head,ava_f_Head01,4,1,7,
74,Avalonian Female Cloak,Cloak01_ava_f,4,1,10,
75,Avalonian Female Cloak,Cloak02_ava_f,4,1,12,
76,Avalonian Female Cloak,Cloak03_ava_f,4,1,10,
77,Avalonian Female Hair,ava_f_Hair01,4,1,7,1
78,Avalonian Female Hair,ava_f_Hair02,4,1,7,1
79,Avalonian Female Hair,ava_f_Hair03,4,1,7,1
80,Avalonian Female Hair,ava_f_Hair04,4,1,9,1
81,Elf Male Head,elf_m_Head01,4,1,10,
82,Elf Male Cloak,Cloak01_elf_m,4,1,10,
83,Elf Male Cloak,Cloak02_elf_m,4,1,12,
84,Elf Male Cloak,Cloak03_elf_m,4,1,10,
85,Elf Male Hair,elf_m_Hair01,4,1,8,1
86,Elf Male Hair,elf_m_Hair02,4,1,8,1
87,Elf Male Hair,elf_m_Hair03,4,1,9,1
88,Elf Male Hair,elf_m_Hair04,4,1,10,1
89,Elf Female Head,elf_f_Head01,4,1,8,
90,Elf Female Cloak,Cloak01_elf_f,4,1,10,
91,Elf Female Cloak,Cloak02_elf_f,4,1,12,
92,Elf Female Cloak,Cloak03_elf_f,4,1,10,
93,Elf Female Hair,elf_f_Hair01,4,1,15,1
94,Elf Female Hair,elf_f_Hair02,4,1,15,1
95,Elf Female Hair,elf_f_Hair03,4,1,9,1
96,Elf Female Hair,elf_f_Hair04,4,1,15,1
97,Highlander Male Head,hig_m_Head01,4,1,10,
98,Highlander Male LBody,LBody01_hig_m,4,1,4,
99,Highlander Male Cloak,Cloak01_hig_m,4,1,15,
100,Highlander Male Cloak,Cloak02_hig_m,4,1,15,
101,Highlander Male Cloak,Cloak03_hig_m,4,1,15,
102,Highlander Male Hair,hig_m_Hair01,4,1,15,1
103,Highlander Male Hair,hig_m_Hair02,4,1,10,1
104,Highlander Male Hair,hig_m_Hair03,4,1,14,1
105,Highlander Male Hair,hig_m_Hair04,4,1,15,1
106,Highlander Female Head,hig_f_Head01,4,1,7,
107,Highlander Female LBody,LBody01_hig_f,4,1,4,
108,Highlander Female Cloak,Cloak01_hig_f,4,1,10,
109,Highlander Female Cloak,Cloak02_hig_f,4,1,12,
110,Highlander Female Cloak,Cloak03_hig_f,4,1,10,
111,Highlander Female Hair,hig_f_Hair01,4,1,10,1
112,Highlander Female Hair,hig_f_Hair02,4,1,9,1
113,Highlander Female Hair,hig_f_Hair03,4,1,9,1
114,Highlander Female Hair,hig_f_Hair04,4,1,10,1
115,Norse Male Head,nor_m_Head01,4,1,10,
116,Norse Male Cloak,Cloak01_nor_m,4,1,10,
117,Norse Male Cloak,Cloak02_nor_m,4,1,12,
118,Norse Male Cloak,Cloak03_nor_m,4,1,10,
119,Norse Male Hair,nor_m_Hair01,4,1,16,1
120,Norse Male Hair,nor_m_Hair02,4,1,15,1
121,Norse Male Hair,nor_m_Hair03,4,1,15,1
122,Norse Male Hair,nor_m_Hair04,4,1,15,1
123,Norse Female Head,nor_f_Head01,4,1,16,
124,Norse Female Cloak,Cloak01_nor_f,4,1,10,
125,Norse Female Cloak,Cloak02_nor_f,4,1,12,
126,Norse Female Cloak,Cloak03_nor_f,4,1,10,
127,Norse Female Hair,nor_f_Hair01,4,1,9,1
128,Norse Female Hair,nor_f_Hair02,4,1,9,1
129,Norse Female Hair,nor_f_Hair03,4,1,9,1
130,Norse Female Hair,nor_f_Hair04,4,1,9,1
131,Lurikeen Male Head,lur_m_Head01,4,1,8,
132,Lurikeen Male Cloak,Cloak01_lur_m,4,1,10,
133,Lurikeen Male Cloak,Cloak02_lur_m,4,1,12,
134,Lurikeen Male Cloak,Cloak03_lur_m,4,1,10,
135,Lurikeen Male Hair,lur_m_Hair01,4,1,15,
136,Lurikeen Male Hair,lur_m_Hair02,4,1,15,1
137,Lurikeen Male Hair,lur_m_Hair03,4,1,15,1
138,Lurikeen Male Hair,lur_m_Hair04,4,1,15,1
139,Lurikeen Female Head,lur_f_Head01,4,1,8,
140,Lurikeen Female Cloak,Cloak01_lur_f,4,1,10,
141,Lurikeen Female Cloak,Cloak02_lur_f,4,1,12,
142,Lurikeen Female Cloak,Cloak03_lur_f,4,1,10,
143,Lurikeen Female Hair,lur_f_Hair01,4,1,9,0
144,Lurikeen Female Hair,lur_f_Hair02,4,1,10,1
145,Lurikeen Female Hair,lur_f_Hair03,4,1,15,1
146,Lurikeen Female Hair,lur_f_Hair04,4,1,15,1
147,Kobold Male Head,kob_m_Head01,4,1,15,
148,Kobold Male Cloak,Cloak01_kob_m,4,1,10,
149,Kobold Male Cloak,Cloak02_kob_m,4,1,12,
150,Kobold Male Cloak,Cloak03_kob_m,4,1,10,
151,Kobold Male Hair,kob_m_Hair01,4,1,15,1
152,Kobold Male Hair,kob_m_Hair02,4,1,15,1
153,Kobold Male Hair,kob_m_Hair03,4,1,9,1
154,Kobold Male Hair,kob_m_Hair04,4,1,15,1
155,Kobold Female Head,kob_f_Head01,4,1,15,
156,Kobold Female Cloak,Cloak01_kob_f,4,1,10,
157,Kobold Female Cloak,Cloak02_kob_f,4,1,12,
158,Kobold Female Cloak,Cloak03_kob_f,4,1,10,
159,Kobold Female Hair,kob_f_Hair01,4,1,8,1
