Information,, ,,,,,,,,,,,,,,,,,
ID,Textual Name,Red,Green,Blue,,,,,,,,,,,,,,,
1,Norse Skin 1,255,255,255,,,,,,,,,,,,,,,
2,Norse Skin 2,255,206,196,,,,,,,,,,,,,,,
3,Norse Skin 3,255,219,178,,,,,,,,,,,,,,,
4,Norse Skin 4,209,160,108,,,,,,,,,,,,,,,
5,Norse Skin 5,183,133,142,,,,,,,,,,,,,,,
6,Norse Skin 6,150,92,38,,,,,,,,,,,,,,,
7,Norse Skin 7,111,74,56,,,,,,,,,,,,,,,
8,Norse Skin 8,119,60,14,,,,,,,,,,,,,,,
9,Kobold Skin 1,255,255,255,,,,,,,,,,,,,,,
10,Kobold Skin 2,255,165,135,,,,,,,,,,,,,,,
11,Kobold Skin 3,196,146,243,,,,,,,,,,,,,,,
12,Kobold Skin 4,136,147,106,,,,,,,,,,,,,,,
13,Kobold Skin 5,106,122,147,,,,,,,,,,,,,,,
14,Kobold Skin 6,89,42,98,,,,,,,,,,,,,,,
15,Kobold Skin 7,74,121,57,,,,,,,,,,,,,,,
16,Kobold Skin 8,0,16,28,,,,,,,,,,,,,,,
17,Troll Skin 1,255,255,255,,,,,,,,,,,,,,,
18,Troll Skin 2,249,191,170,,,,,,,,,,,,,,,
19,Troll Skin 3,249,215,170,,,,,,,,,,,,,,,
20,Troll Skin 4,189,187,231,,,,,,,,,,,,,,,
21,Troll Skin 5,143,143,143,,,,,,,,,,,,,,,
22,Troll Skin 6,171,140,116,,,,,,,,,,,,,,,
23,Troll Skin 7,102,100,129,,,,,,,,,,,,,,,
24,Troll Skin 8,53,53,53,,,,,,,,,,,,,,,
25,Valkyn Skin 1,255,255,255,,,,,,,,,,,,,,,
26,Valkyn Skin 2,226,194,217,,,,,,,,,,,,,,,
27,Valkyn Skin 3,243,238,176,,,,,,,,,,,,,,,
28,Valkyn Skin 4,167,133,125,,,,,,,,,,,,,,,
29,Valkyn Skin 5,93,136,140,,,,,,,,,,,,,,,
30,Valkyn Skin 6,120,87,83,,,,,,,,,,,,,,,
31,Valkyn Skin 7,104,98,54,,,,,,,,,,,,,,,
32,Valkyn Skin 8,74,58,64,,,,,,,,,,,,,,,
33,Dwarf Skin 1,255,255,255,,,,,,,,,,,,,,,
34,Dwarf Skin 2,255,175,149,,,,,,,,,,,,,,,
35,Dwarf Skin 3,218,218,167,,,,,,,,,,,,,,,
36,Dwarf Skin 4,221,177,90,,,,,,,,,,,,,,,
37,Dwarf Skin 5,198,103,87,,,,,,,,,,,,,,,
38,Dwarf Skin 6,158,127,139,,,,,,,,,,,,,,,
39,Dwarf Skin 7,144,102,47,,,,,,,,,,,,,,,
40,Dwarf Skin 8,105,51,35,,,,,,,,,,,,,,,
41,Frostalf Skin 1,255,255,255,,,,,,,,,,,,,,,
42,Frostalf Skin 2,179,224,224,,,,,,,,,,,,,,,
43,Frostalf Skin 3,175,198,229,,,,,,,,,,,,,,,
44,Frostalf Skin 4,195,178,225,,,,,,,,,,,,,,,
45,Frostalf Skin 5,148,148,148,,,,,,,,,,,,,,,
46,Frostalf Skin 6,100,120,144,,,,,,,,,,,,,,,
47,Frostalf Skin 7,107,140,135,,,,,,,,,,,,,,,
48,Frostalf Skin 8,57,63,99,,,,,,,,,,,,,,,
49,Norse eye 1,0,97,149,,,,,,,,,,,,,,,
50,Norse eye 2,59,154,195,,,,,,,,,,,,,,,
51,Norse eye 3,92,110,108,,,,,,,,,,,,,,,
52,Norse eye 4,21,210,0,,,,,,,,,,,,,,,
53,Norse eye 5,51,106,0,,,,,,,,,,,,,,,
54,Norse eye 6,123,67,22,,,,,,,,,,,,,,,
55,Norse eye 7,59,29,11,,,,,,,,,,,,,,,
56,Norse eye 8,0,0,0,,,,,,,,,,,,,,,
57,Kobold eye 1,146,3,0,,,,,,,,,,,,,,,
58,Kobold eye 2,32,149,0,,,,,,,,,,,,,,,
59,Kobold eye 3,0,172,177,,,,,,,,,,,,,,,
60,Kobold eye 4,0,45,151,,,,,,,,,,,,,,,
61,Kobold eye 5,53,0,151,,,,,,,,,,,,,,,
62,Kobold eye 6,161,25,156,,,,,,,,,,,,,,,
63,Kobold eye 7,54,7,0,,,,,,,,,,,,,,,
64,Kobold eye 8,255,218,144,,,,,,,,,,,,,,,
65,Troll eye 1,128,104,113,,,,,,,,,,,,,,,
66,Troll eye 2,122,0,179,,,,,,,,,,,,,,,
67,Troll eye 3,0,2,164,,,,,,,,,,,,,,,
68,Troll eye 4,0,132,179,,,,,,,,,,,,,,,
69,Troll eye 5,0,62,48,,,,,,,,,,,,,,,
70,Troll eye 6,47,139,0,,,,,,,,,,,,,,,
71,Troll eye 7,142,108,0,,,,,,,,,,,,,,,
72,Troll eye 8,197,48,0,,,,,,,,,,,,,,,
73,Valkyn eye 1,164,21,208,,,,,,,,,,,,,,,
74,Valkyn eye 2,43,0,93,,,,,,,,,,,,,,,
75,Valkyn eye 3,111,95,134,,,,,,,,,,,,,,,
76,Valkyn eye 4,54,105,168,,,,,,,,,,,,,,,
77,Valkyn eye 5,0,140,26,,,,,,,,,,,,,,,
78,Valkyn eye 6,213,206,0,,,,,,,,,,,,,,,
79,Valkyn eye 7,155,83,0,,,,,,,,,,,,,,,
80,Valkyn eye 8,150,11,0,,,,,,,,,,,,,,,
81,Dwarf eye 1,0,97,149,,,,,,,,,,,,,,,
82,Dwarf eye 2,59,154,195,,,,,,,,,,,,,,,
83,Dwarf eye 3,92,110,108,,,,,,,,,,,,,,,
84,Dwarf eye 4,21,210,0,,,,,,,,,,,,,,,
85,Dwarf eye 5,51,106,0,,,,,,,,,,,,,,,
86,Dwarf eye 6,123,67,22,,,,,,,,,,,,,,,
87,Dwarf eye 7,59,29,11,,,,,,,,,,,,,,,
88,Dwarf eye 8,0,0,0,,,,,,,,,,,,,,,
89,Frostalf eye 1,0,174,255,,,,,,,,,,,,,,,
90,Frostalf eye 2,0,255,182,,,,,,,,,,,,,,,
91,Frostalf eye 3,30,255,0,,,,,,,,,,,,,,,
92,Frostalf eye 4,255,224,0,,,,,,,,,,,,,,,
93,Frostalf eye 5,255,71,0,,,,,,,,,,,,,,,
94,Frostalf eye 6,223,0,255,,,,,,,,,,,,,,,
95,Frostalf eye 7,83,0,255,,,,,,,,,,,,,,,
96,Frostalf eye 8,0,0,0,,,,,,,,,,,,,,,
97,Hair Tint 1,122,83,47,,,,,,,,,,,,,,,
98,Hair Tint 2,104,104,104,,,,,,,,,,,,,,,
99,Hair Tint 3,210,64,14,,,,,,,,,,,,,,,
100,Hair Tint 4,147,113,84,,,,,,,,,,,,,,,
101,Hair Tint 5,68,71,80,,,,,,,,,,,,,,,
102,Hair Tint 6,255,140,0,,,,,,,,,,,,,,,
103,Hair Tint 7,197,164,188,,,,,,,,,,,,,,,
104,Hair Tint 8,245,186,192,,,,,,,,,,,,,,,
105,Hair Tint 9,119,118,136,,,,,,,,,,,,,,,
106,Hair Tint 10,235,124,139,,,,,,,,,,,,,,,
107,Hair Tint 11,252,117,107,,,,,,,,,,,,,,,
108,Hair Tint 12,115,176,243,,,,,,,,,,,,,,,
109,Hair Tint 13,179,66,58,,,,,,,,,,,,,,,
110,Hair Tint 14,145,99,43,,,,,,,,,,,,,,,
