race, hair color, desc (new), hair color (old)
#, #, , #
0,0, BRITON 1,5
0,1, BRITON 2,6
0,2, BRITON 3,1
0,3, BRITON 4,4
0,4, BRITON 5,1
0,5, BRITON 6,6
0,6, BRITON 7,4
0,7, BRITON 8,6
0,8, BRITON 9,4
0,9, BRITON 10,3
0,10, BRITON 11,8
0,11, BRITON 12,3
0,12, BRITON 13,3
0,13, BRITON 14,3
0,14, BRITON 15,2
0,15, BRITON 16,2
1,0, AVALONIAN 1,2
1,1, AVALONIAN 2,5
1,2, AVALONIAN 3,5
1,3, AVALONIAN 4,8
1,4, AVALONIAN 5,3
1,5, AVALONIAN 6,8
1,6, AVALONIAN 7,2
1,7, AVALONIAN 8,8
1,8, AVALONIAN 9,5
1,9, AVALONIAN 10,2
1,10, AVALONIAN 11,2
1,11, AVALONIAN 12,2
1,12, AVALONIAN 13,2
1,13, AVALONIAN 14,8
1,14, AVALONIAN 15,5
1,15, AVALONIAN 16,1
2,0, HIGHLANDER 1,3
2,1, HIGHLANDER 2,7
2,2, HIGHLANDER 3,8
2,3, HIGHLANDER 4,6
2,4, HIGHLANDER 5,4
2,5, HIGHLANDER 6,4
2,6, HIGHLANDER 7,2
2,7, HIGHLANDER 8,3
2,8, HIGHLANDER 9,2
2,9, HIGHLANDER 10,3
2,10, HIGHLANDER 11,6
2,11, HIGHLANDER 12,3
2,12, HIGHLANDER 13,6
2,13, HIGHLANDER 14,3
2,14, HIGHLANDER 15,2
2,15, HIGHLANDER 16,1
3,0, SARACEN 1,6
3,1, SARACEN 2,1
3,2, SARACEN 3,1
3,3, SARACEN 4,1
3,4, SARACEN 5,6
3,5, SARACEN 6,1
3,6, SARACEN 7,1
3,7, SARACEN 8,1
3,8, SARACEN 9,2
3,9, SARACEN 10,2
3,10, SARACEN 11,6
3,11, SARACEN 12,6
3,12, SARACEN 13,6
3,13, SARACEN 14,6
3,14, SARACEN 15,6
3,15, SARACEN 16,6
4,0, NORSEMAN 1,3
4,1, NORSEMAN 2,4
4,2, NORSEMAN 3,3
4,3, NORSEMAN 4,6
4,4, NORSEMAN 5,5
4,5, NORSEMAN 6,1
4,6, NORSEMAN 7,3
4,7, NORSEMAN 8,3
4,8, NORSEMAN 9,3
4,9, NORSEMAN 10,2
4,10, NORSEMAN 11,6
4,11, NORSEMAN 12,3
4,12, NORSEMAN 13,6
4,13, NORSEMAN 14,6
4,14, NORSEMAN 15,1
4,15, NORSEMAN 16,3
5,0, TROLL 1,4
5,1, TROLL 2,5
5,2, TROLL 3,7
5,3, TROLL 4,2
5,4, TROLL 5,5
5,5, TROLL 6,7
5,6, TROLL 7,2
5,7, TROLL 8,5
5,8, TROLL 9,7
5,9, TROLL 10,2
5,10, TROLL 11,5
5,11, TROLL 12,7
5,12, TROLL 13,2
5,13, TROLL 14,5
5,14, TROLL 15,7
5,15, TROLL 16,2
6,0, DWARF 1,8
6,1, DWARF 2,4
6,2, DWARF 3,4
6,3, DWARF 4,4
6,4, DWARF 5,8
6,5, DWARF 6,4
6,6, DWARF 7,4
6,7, DWARF 8,4
6,8, DWARF 9,4
6,9, DWARF 10,4
6,10, DWARF 11,1
6,11, DWARF 12,4
6,12, DWARF 13,4
6,13, DWARF 14,4
6,14, DWARF 15,4
6,15, DWARF 16,1
7,0, KOBOLD 1,7
7,1, KOBOLD 2,4
7,2, KOBOLD 3,6
7,3, KOBOLD 4,8
7,4, KOBOLD 5,6
7,5, KOBOLD 6,3
7,6, KOBOLD 7,8
7,7, KOBOLD 8,7
7,8, KOBOLD 9,7
7,9, KOBOLD 10,3
7,10, KOBOLD 11,7
7,11, KOBOLD 12,3
7,12, KOBOLD 13,7
7,13, KOBOLD 14,1
7,14, KOBOLD 15,1
7,15, KOBOLD 16,3
8,0, CELT 1,7
8,1, CELT 2,3
8,2, CELT 3,5
8,3, CELT 4,1
8,4, CELT 5,6
8,5, CELT 6,4
8,6, CELT 7,6
8,7, CELT 8,4
8,8, CELT 9,3
8,9, CELT 10,4
8,10, CELT 11,3
8,11, CELT 12,1
8,12, CELT 13,6
8,13, CELT 14,4
8,14, CELT 15,1
8,15, CELT 16,2
9,0, FIRBOLG 1,6
9,1, FIRBOLG 2,5
9,2, FIRBOLG 3,4
9,3, FIRBOLG 4,1
9,4, FIRBOLG 5,4
9,5, FIRBOLG 6,4
9,6, FIRBOLG 7,4
9,7, FIRBOLG 8,3
9,8, FIRBOLG 9,3
9,9, FIRBOLG 10,8
9,10, FIRBOLG 11,7
9,11, FIRBOLG 12,7
9,12, FIRBOLG 13,2
9,13, FIRBOLG 14,2
9,14, FIRBOLG 15,6
9,15, FIRBOLG 16,2
10,0, ELF 1,8
10,1, ELF 2,2
10,2, ELF 3,8
10,3, ELF 4,6
10,4, ELF 5,6
10,5, ELF 6,1
10,6, ELF 7,8
10,7, ELF 8,8
10,8, ELF 9,2
10,9, ELF 10,8
10,10, ELF 11,7
10,11, ELF 12,7
10,12, ELF 13,2
