race, hair color, desc (old), hair color (new)
#, #, , #
0,0, BRITON 1,2
0,1, BRITON 2,12
0,2, BRITON 3,0
0,3, BRITON 4,1
0,4, BRITON 5,1
0,5, BRITON 6,1
0,6, BRITON 7,0
0,7, BRITON 8,2
1,0, AVALONIAN 1,7
1,1, AVALONIAN 2,0
1,2, AVALONIAN 3,4
1,3, AVALONIAN 4,4
1,4, AVALONIAN 5,10
1,5, AVALONIAN 6,4
1,6, AVALONIAN 7,7
1,7, AVALONIAN 8,7
2,0, HIGHLANDER 1,2
2,1, HIGHLANDER 2,14
2,2, HIGHLANDER 3,6
2,3, HIGHLANDER 4,5
2,4, HIGHLANDER 5,0
2,5, HIGHLANDER 6,4
2,6, HIGHLANDER 7,1
2,7, HIGHLANDER 8,2
3,0, SARACEN 1,1
3,1, SARACEN 2,3
3,2, SARACEN 3,0
3,3, SARACEN 4,1
3,4, SARACEN 5,8
3,5, SARACEN 6,8
3,6, SARACEN 7,1
3,7, SARACEN 8,8
4,0, NORSEMAN 1,5
4,1, NORSEMAN 2,14
4,2, NORSEMAN 3,7
4,3, NORSEMAN 4,1
4,4, NORSEMAN 5,1
4,5, NORSEMAN 6,3
4,6, NORSEMAN 7,1
4,7, NORSEMAN 8,5
5,0, TROLL 1,1
5,1, TROLL 2,3
5,2, TROLL 3,2
5,3, TROLL 4,0
5,4, TROLL 5,1
5,5, TROLL 6,3
5,6, TROLL 7,2
5,7, TROLL 8,0
6,0, DWARF 1,4
6,1, DWARF 2,10
6,2, DWARF 3,7
6,3, DWARF 4,7
6,4, DWARF 5,2
6,5, DWARF 6,1
6,6, DWARF 7,0
6,7, DWARF 8,0
7,0, KOBOLD 1,1
7,1, KOBOLD 2,2
7,2, KOBOLD 3,9
7,3, KOBOLD 4,1
7,4, KOBOLD 5,1
7,5, KOBOLD 6,2
7,6, KOBOLD 7,1
7,7, KOBOLD 8,6
8,0, CELT 1,3
8,1, CELT 2,1
8,2, CELT 3,2
8,3, CELT 4,5
8,4, CELT 5,2
8,5, CELT 6,4
8,6, CELT 7,0
8,7, CELT 8,2
9,0, FIRBOLG 1,3
9,1, FIRBOLG 2,12
9,2, FIRBOLG 3,2
9,3, FIRBOLG 4,2
9,4, FIRBOLG 5,1
9,5, FIRBOLG 6,4
9,6, FIRBOLG 7,10
9,7, FIRBOLG 8,9
10,0, ELF 1,1
10,1, ELF 2,1
10,2, ELF 3,1
10,3, ELF 4,3
10,4, ELF 5,12
10,5, ELF 6,3
10,6, ELF 7,11
10,7, ELF 8,9
11,0, LURIKEEN 1,6
11,1, LURIKEEN 2,7
11,2, LURIKEEN 3,7
11,3, LURIKEEN 4,3
11,4, LURIKEEN 5,2
11,5, LURIKEEN 6,0
11,6, LURIKEEN 7,8
11,7, LURIKEEN 8,8
12,0, INCONNU 1,1
12,1, INCONNU 2,4
12,2, INCONNU 3,9
12,3, INCONNU 4,1
12,4, INCONNU 5,1
12,5, INCONNU 6,4
12,6, INCONNU 7,12
12,7, INCONNU 8,7
13,0, VALKYN 1,0
13,1, VALKYN 2,2
13,2, VALKYN 3,0
13,3, VALKYN 4,6
13,4, VALKYN 5,0
13,5, VALKYN 6,14
13,6, VALKYN 7,2
13,7, VALKYN 8,3
14,0, SYLVAN 1,8
14,1, SYLVAN 2,7
14,2, SYLVAN 3,10
14,3, SYLVAN 4,5
14,4, SYLVAN 5,3
14,5, SYLVAN 6,8
14,6, SYLVAN 7,8
14,7, SYLVAN 8,8
15,0, HALF_OGRE 1,1
15,1, HALF_OGRE 2,14
15,2, HALF_OGRE 3,0
15,3, HALF_OGRE 4,6
15,4, HALF_OGRE 5,1
15,5, HALF_OGRE 6,14
15,6, HALF_OGRE 7,0
15,7, HALF_OGRE 8,2
16,0, FROSTALF 1,6
16,1, FROSTALF 2,0
16,2, FROSTALF 3,1
16,3, FROSTALF 4,0
16,4, FROSTALF 5,4
16,5, FROSTALF 6,9
16,6, FROSTALF 7,8
16,7, FROSTALF 8,0
17,0, SHAR 1,1
17,1, SHAR 2,12
17,2, SHAR 3,1
17,3, SHAR 4,5
17,4, SHAR 5,0
17,5, SHAR 6,1
17,6, SHAR 7,1
17,7, SHAR 8,2
