desc - face, icon, face, morph 1, morph 2, morph 3, morph 4, hair style, skin color, eye color, tattoo
 , #, #, #, #, #, #, #, #, #, #
BRITON MALE 1,14,0,4,4,4,4,3,0,0,0
BRITON MALE 2,32,4,4,4,4,4,3,0,4,0
BRITON MALE 3,33,3,4,4,4,4,3,0,5,0
BRITON MALE 4,34,1,4,4,4,4,3,0,7,0
BRITON MALE 5,471,1,4,4,4,4,0,0,6,0
BRITON MALE 6,472,0,4,4,4,4,5,0,6,0
BRITON MALE 7,254,2,4,4,4,4,4,0,0,0
BRITON MALE 8,255,3,4,4,4,4,4,0,0,0
BRITON MALE 9,256,4,4,4,4,4,4,0,7,0
BRITON MALE 10,257,1,4,4,4,4,4,0,0,0
BRITON MALE 11,473,1,4,4,4,4,1,0,6,0
BRITON MALE 12,474,4,4,4,4,4,5,0,4,0
BRITON FEMALE 1,35,0,4,4,4,4,1,0,0,0
BRITON FEMALE 2,36,5,4,4,4,4,1,0,6,0
BRITON FEMALE 3,37,4,4,4,4,4,1,0,2,0
BRITON FEMALE 4,38,1,4,4,4,4,1,0,0,0
BRITON FEMALE 5,475,4,4,4,4,4,1,0,0,0
BRITON FEMALE 6,476,3,4,4,4,4,1,0,5,0
BRITON FEMALE 7,258,0,4,4,4,4,0,0,0,0
BRITON FEMALE 8,259,5,4,4,4,4,0,0,6,0
BRITON FEMALE 9,260,4,4,4,4,4,0,0,7,0
BRITON FEMALE 10,261,1,4,4,4,4,0,0,0,0
BRITON FEMALE 11,477,4,4,4,4,4,0,0,0,0
BRITON FEMALE 12,478,2,4,4,4,4,0,0,3,0
AVALONIAN MALE 1,61,1,4,4,4,4,4,0,0,0
AVALONIAN MALE 2,62,0,4,4,4,4,4,0,0,0
AVALONIAN MALE 3,63,2,4,4,4,4,4,0,0,0
AVALONIAN MALE 4,64,3,4,4,4,4,0,0,0,0
AVALONIAN MALE 5,495,1,4,4,4,4,3,0,0,0
AVALONIAN MALE 6,496,5,4,4,4,4,3,0,0,0
AVALONIAN MALE 7,278,1,4,4,4,4,1,0,0,0
AVALONIAN MALE 8,279,5,4,4,4,4,1,0,0,0
AVALONIAN MALE 9,280,2,4,4,4,4,1,0,0,0
AVALONIAN MALE 10,281,1,4,4,4,4,1,0,0,0
AVALONIAN MALE 11,497,2,4,4,4,4,1,0,0,0
AVALONIAN MALE 12,498,5,4,4,4,4,1,0,0,0
AVALONIAN FEMALE 1,65,2,4,4,4,4,2,0,0,0
AVALONIAN FEMALE 2,66,4,4,4,4,4,2,0,3,0
AVALONIAN FEMALE 3,67,2,4,4,4,4,2,0,5,0
AVALONIAN FEMALE 4,68,4,4,4,4,4,2,0,2,0
AVALONIAN FEMALE 5,499,1,4,4,4,4,2,0,6,0
AVALONIAN FEMALE 6,500,3,4,4,4,4,2,0,4,0
AVALONIAN FEMALE 7,282,4,4,4,4,4,0,0,0,0
AVALONIAN FEMALE 8,283,2,4,4,4,4,0,0,3,0
AVALONIAN FEMALE 9,284,4,4,4,4,4,0,0,0,0
AVALONIAN FEMALE 10,285,5,4,4,4,4,0,0,0,0
AVALONIAN FEMALE 11,501,0,4,4,4,4,0,0,0,0
AVALONIAN FEMALE 12,502,1,4,4,4,4,0,0,0,0
HIGHLANDER MALE 1,39,2,4,4,4,4,2,0,6,0
HIGHLANDER MALE 2,40,4,4,4,4,4,0,0,6,0
HIGHLANDER MALE 3,41,0,4,4,4,4,2,0,0,0
HIGHLANDER MALE 4,42,3,4,4,4,4,2,0,7,0
HIGHLANDER MALE 5,487,6,4,4,4,4,4,0,0,0
HIGHLANDER MALE 6,488,5,4,4,4,4,0,0,5,0
HIGHLANDER MALE 7,262,2,4,4,4,4,2,0,5,0
HIGHLANDER MALE 8,263,4,4,4,4,4,2,0,0,0
HIGHLANDER MALE 9,264,2,4,4,4,4,2,0,0,0
HIGHLANDER MALE 10,265,3,4,4,4,4,2,0,0,0
HIGHLANDER MALE 11,489,6,4,4,4,4,0,0,0,0
HIGHLANDER MALE 12,490,5,4,4,4,4,5,0,6,0
HIGHLANDER FEMALE 1,43,5,4,4,4,4,0,0,0,0
HIGHLANDER FEMALE 2,44,4,4,4,4,4,0,0,1,0
HIGHLANDER FEMALE 3,45,3,4,4,4,4,0,0,5,0
HIGHLANDER FEMALE 4,46,2,4,4,4,4,0,0,6,0
HIGHLANDER FEMALE 5,491,4,4,4,4,4,0,0,5,0
HIGHLANDER FEMALE 6,492,0,4,4,4,4,0,0,0,0
HIGHLANDER FEMALE 7,266,0,4,4,4,4,1,0,0,0
HIGHLANDER FEMALE 8,267,5,4,4,4,4,1,0,2,0
HIGHLANDER FEMALE 9,268,1,4,4,4,4,1,0,0,0
HIGHLANDER FEMALE 10,269,4,4,4,4,4,1,0,6,0
HIGHLANDER FEMALE 11,493,2,4,4,4,4,1,0,0,0
HIGHLANDER FEMALE 12,494,5,4,4,4,4,1,0,2,0
SARACEN MALE 1,48,0,4,4,4,4,4,0,0,0
SARACEN MALE 2,49,4,4,4,4,4,4,0,0,0
SARACEN MALE 3,50,3,4,4,4,4,4,0,0,0
SARACEN MALE 4,51,1,4,4,4,4,0,0,0,0
SARACEN MALE 5,479,4,4,4,4,4,1,0,0,0
SARACEN MALE 6,480,2,4,4,4,4,1,0,3,0
SARACEN MALE 7,270,0,4,4,4,4,1,0,0,0
SARACEN MALE 8,271,4,4,4,4,4,1,0,0,0
SARACEN MALE 9,272,3,4,4,4,4,1,0,0,0
SARACEN MALE 10,273,1,4,4,4,4,1,0,0,0
SARACEN MALE 11,481,4,4,4,4,4,0,0,0,0
SARACEN MALE 12,482,5,4,4,4,4,0,0,0,0
SARACEN FEMALE 1,52,0,4,4,4,4,0,0,0,0
SARACEN FEMALE 2,53,4,4,4,4,4,0,0,0,0
SARACEN FEMALE 3,54,2,4,4,4,4,0,0,0,0
SARACEN FEMALE 4,55,4,4,4,4,4,0,0,0,0
SARACEN FEMALE 5,483,4,4,4,4,4,1,0,0,0
SARACEN FEMALE 6,484,5,4,4,4,4,1,0,0,0
SARACEN FEMALE 7,274,0,4,4,4,4,1,0,0,0
SARACEN FEMALE 8,275,2,4,4,4,4,1,0,0,0
SARACEN FEMALE 9,276,3,4,4,4,4,1,0,0,0
SARACEN FEMALE 10,277,4,4,4,4,4,1,0,0,0
SARACEN FEMALE 11,485,4,4,4,4,4,0,0,0,0
SARACEN FEMALE 12,486,0,4,4,4,4,0,0,0,0
NORSEMAN MALE 1,153,2,4,4,4,4,0,0,0,0
NORSEMAN MALE 2,154,4,4,4,4,4,1,0,0,1
NORSEMAN MALE 3,155,0,4,4,4,4,0,0,0,2
NORSEMAN MALE 4,156,5,4,4,4,4,1,0,0,0
NORSEMAN MALE 5,503,1,4,4,4,4,1,0,0,2
NORSEMAN MALE 6,504,6,4,4,4,4,0,0,0,1
NORSEMAN MALE 7,157,2,4,4,4,4,1,0,0,0
NORSEMAN MALE 8,158,0,4,4,4,4,1,0,0,1
NORSEMAN MALE 9,159,3,4,4,4,4,1,0,0,2
NORSEMAN MALE 10,160,1,4,4,4,4,1,0,0,0
NORSEMAN MALE 11,505,4,4,4,4,4,1,0,0,0
NORSEMAN MALE 12,506,6,4,4,4,4,1,0,0,0
NORSEMAN FEMALE 1,161,2,4,4,4,4,0,0,0,0
NORSEMAN FEMALE 2,162,1,4,4,4,4,0,0,1,0
NORSEMAN FEMALE 3,163,3,4,4,4,4,0,0,2,0
NORSEMAN FEMALE 4,164,0,4,4,4,4,0,0,0,0
NORSEMAN FEMALE 5,507,4,4,4,4,4,0,0,1,0
NORSEMAN FEMALE 6,508,0,4,4,4,4,0,0,0,0
NORSEMAN FEMALE 7,165,2,4,4,4,4,1,0,2,0
NORSEMAN FEMALE 8,166,3,4,4,4,4,1,0,1,0
NORSEMAN FEMALE 9,167,1,4,4,4,4,1,0,3,0
NORSEMAN FEMALE 10,168,2,4,4,4,4,1,0,0,0
NORSEMAN FEMALE 11,509,4,4,4,4,4,1,0,1,0
NORSEMAN FEMALE 12,510,0,4,4,4,4,1,0,2,0
TROLL MALE 1,137,4,4,4,4,4,0,0,0,7
TROLL MALE 2,138,5,4,4,4,4,0,0,0,0
TROLL MALE 3,139,0,4,4,4,4,0,0,0,1
