Nif with path,Obey Nif Emissiveness and Dismount Restriction
tutorial/zones/nif/bla.nif,1
tutorial/zones/nifs/tutorial_keep_hib.nif,1
tutorial/zones/nifs/tutorial_keep_mid.nif,1
tutorial/zones/nifs/tutorial_keep_alb.nif,1
tutorial/zones/nifs/3tower_hib.nif,1
tutorial/zones/nifs/3tower_alb.nif,1
tutorial/zones/nifs/3tower_mid.nif,1
newtowns/zones/nifs/HLurikHutSm.nif,1
newtowns/zones/nifs/Helfshack.nif,1
newtowns/zones/nifs/camwall.nif,1
newtowns/zones/nifs/H_elfhall.nif,1
newtowns/zones/nifs/Bfarmhouse.nif,1
newtowns/zones/nifs/Btavern.nif,1
newtowns/zones/nifs/Brit_shop.nif,1
newtowns/zones/nifs/Nblacksmith.nif,1
newtowns/zones/nifs/NTavern.nif,1
newtowns/zones/nifs/nrs-hut1.nif,1
newtowns/zones/nifs/nrshse1.nif,1
newtowns/zones/nifs/houtwall.nif,1
newtowns/zones/nifs/b-forge1.nif,1
newtowns/zones/nifs/Hceltcottage.nif,1
newtowns/zones/nifs/lnghse2.nif,1
newtowns/zones/nifs/NDwfArmorhut.nif,1
newtowns/zones/nifs/brghouse.nif,1
newtowns/zones/nifs/Hcelthut.nif,1
newtowns/zones/nifs/Stable.nif,1
newtowns/zones/nifs/Britbarn.nif,1
newtowns/zones/nifs/b-rndtw2.nif,1
newtowns/zones/nifs/N-bridge1.nif,1
newtowns/zones/nifs/elftavern2.nif,1
newtowns/zones/nifs/brghouse.nif,2
frontiers/nifs/bridge02_f.nif,2
frontiers/nifs/bridge01_f.nif,2
frontiers/nifs/bridge03_f.nif,2
zones/nifs/brghouse.nif,2
zones/nifs/bridge.nif,2
zones/nifs/n-giantwall1.nif,2
zones/nifs/N-FDarch.nif,2
zones/nifs/n-gianbridge1.nif,2
zones/nifs/HDomnanGrove.nif,2
zones/nifs/HCelticBridge.nif,2
zones/nifs/sylvanbridge.nif,2
zones/nifs/lavatreetall.nif,2
zones/nifs/delling05.nif,2
zones/nifs/ruinedcath.nif,2
zones/nifs/NAegirhamn02.nif,2
zones/nifs/NAegirhamn03.nif,2
zones/nifs/brghouse.nif,2
zones/nifs/hstonebridge.nif,2
zones/nifs/N-bridge1.nif,2
newtowns/zones/nifs/N-bridge1.nif,2
zones/nifs/DR_Alb_house2.nif,1
zones/nifs/DR_Alb_house1.nif,1
zones/nifs/DR_Alb_Keep.nif,1
zones/nifs/DR_Alb_tavern.nif,1
zones/nifs/DR_H_magetower.nif,1
zones/nifs/DR_H_rebel_house01.nif,1
zones/nifs/DR_H_rebel_smithy.nif,1
zones/nifs/dr_m_magetower.nif,1
zones/nifs/DR_H_rebel_TavernBarracks.nif,1
zones/nifs/DR_Hib_elfshop.nif,1
zones/nifs/DR_hib_forge.nif,1
zones/nifs/DR_m_rebel_TavernBarracks.nif,1
zones/nifs/DR_hib_house1.nif,1
zones/nifs/DR_hib_house2.nif,1
zones/nifs/DR_hib_house2.nif,1
zones/nifs/DR_hib_keep.nif,1
zones/nifs/DR_hib_tavern.nif,1
zones/nifs/DR_H-rebel_watchtower.nif,1
zones/nifs/DR_M_magetower.nif,1
zones/nifs/DR_mid_forge.nif,1
zones/nifs/DR_Mid_house1.nif,1
zones/nifs/DR_Mid_house2.nif,1
zones/nifs/DR_mid_keep.nif,1
zones/nifs/DR_mid_tavern.nif,1
zones/nifs/DR_M-rebel_watchtower.nif,1
zones/nifs/DR_A_magetower.nif,1
zones/nifs/DR_A_rebel_TavernBarracks.nif,1
zones/nifs/DR_Alb_forge.nif,1
zones/nifs/h-bridge1.nif,2
zones/nifs/Iarnwood.nif,2
zones/nifs/mightyoak-small.nif,2
zones/nifs/mightyoak.nif,2
frontiers/nifs/midmilegate_new_F.nif,2
frontiers/nifs/albmilegate_new_F.nif,2
frontiers/nifs/hibmilegate_new_F.nif,2
zones/nifs/n-bridge4.nif,2
zones/nifs/n-bridge3.nif,2
