Hair Set,Race,1,2,3,4,5,6,7,8
1,Britons,1021,1024,1022,1018,1020,1030,1017,1023
2,Highlanders,1021,1024,1022,1018,1020,1030,1025,1023
3,Avalonians,1021,1018,1017,1020,1030,1019,1016,1023
4,Vikings,1021,1024,1018,1017,1020,1025,1019,1023
5,Kobolds,1021,1017,1031,1016,1028,1019,1024,1025
6,Dwarves,1021,1024,1022,1018,1017,1020,1016,1023
7,Trolls,177,178,179,180,177,178,179,180
8,Celts,1021,1024,1022,1018,1020,1025,1030,1017
9,Firbolg,1021,1026,1022,1018,1020,1030,1027,1029
10,Lurikeen,1025,1030,1018,1022,1020,1016,1023,1021
11,Elves,1028,1023,1016,1019,1026,1017,1029,1018
12,Saracen B,1042,1043,1044,1042,1043,1044,1042,1043
13,Saracen A,1045,1046,1047,1045,1046,1047,1045,1046
14,Sylvan,1339,1340,1341,1342,1343,1339,1339,1339
15,Valkyn,1018,1021,1017,1022,1020,1024,1023,1030
16,Half Ogre,1018,1021,1017,1022,1020,1024,1019,1030
17,Frostalf,1021,1016,1028,1023,1025,1026,1031,1028
18,Shar,1754,1753,1752,1755,1756,1757,1758,1759
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Limit,,,,,,,,,
