Armor,,Selection,Skin,Body Decal
Num,Desc,Num,Num,Num
0,Alb Basic Saddle,0,6647,6647
1,Alb Pre-Order Saddle,0,6683,6647
2,Alb Pre-Order Light,1,6683,6683
3,Alb Pre-Order Medium,2,6683,6683
4,Alb Pre-Order Heavy,3,6683,6683
5,Alb Heroic Saddle,0,6649,6647
6,Alb Heroic Light,1,6649,6649
7,Alb Heroic Medium,2,6649,6649
8,Alb Heroic Heavy,3,6649,6649
9,Alb Sinister Saddle,0,6651,6647
10,Alb Sinister Light,1,6651,6651
11,Alb Sinister Medium,2,6651,6651
12,Alb Sinister Heavy,3,6651,6651
13,Alb Magic Saddle,0,6685,6647
14,Alb Magic Light,1,6685,6685
15,Alb Magic Medium,2,6685,6685
16,Alb Magic Heavy,3,6685,6685
17,Hib Basic Saddle,0,6671,6671
18,Hib Pre-Order Saddle,0,6669,6671
19,Hib Pre-Order Light,1,6669,6669
20,Hib Pre-Order Medium,2,6669,6669
21,Hib Pre-Order Heavy,3,6669,6669
22,Hib Heroic Saddle,0,6653,6671
23,Hib Heroic Light,1,6653,6653
24,Hib Heroic Medium,2,6653,6653
25,Hib Heroic Heavy,3,6653,6653
26,Hib Sinister Saddle,0,6665,6671
27,Hib Sinister Light,1,6665,6665
28,Hib Sinister Medium,2,6665,6665
29,Hib Sinister Heavy,3,6665,6665
30,Hib Magical Saddle,0,6667,6671
31,Hib Magical Light,1,6667,6667
32,Hib Magical Medium,2,6667,6667
33,Hib Magical Heavy,3,6667,6667
34,Mid Basic Saddle,0,6681,6681
35,Mid Pre-Order Saddle,0,6679,6681
36,Mid Pre-Order Light,1,6679,6679
37,Mid Pre-Order Medium,2,6679,6679
38,Mid Pre-Order Heavy,3,6679,6679
39,Mid Heroic Saddle,0,6673,6681
40,Mid Heoric Light,1,6673,6673
41,Mid Heoric Medium,2,6673,6673
42,Mid Heroic Heavy,3,6673,6673
43,Mid Sinister Saddle,0,6675,6681
44,Mid Sinister Light,1,6675,6675
45,Mid Sinister Medium,2,6675,6675
46,Mid Sinister Heavy,3,6675,6675
47,Mid Magical Saddle,0,6677,6681
48,Mid Magical Light,1,6677,6677
49,Mid Magical Medium,2,6677,6677
50,Mid Magical Heavy,3,6677,6677
51,No Saddle,4,0,0
