ID,Text,Monster,Body Textures
Num,Desc,Num,(fig3haircolormap)
1,Brown Standard,2033,0
2,Black Standard,2033,1
3,White Standard,2033,2
4,Grey Standard,2033,5
5,Palomino Standard,2033,4
6,Spotted Standard,2033,3
7,Chocolate Standard,2033,6
8,Clydesdale Standard,2033,7
9,Appaloosa Standard,2033,11
10,DappledGrey Standard,2033,12
11,Lepoard Standard,2033,14
12,PrimitiveDun Standard,2033,13
13,RedDun Standard,2033,10
14,ShireDappled Standard,2033,9
15,StrawberryRoan Standard,2033,8
17,Brown Heavy,2035,0
18,Black Heavy,2035,1
19,White Heavy,2035,2
20,Grey Heavy,2035,5
21,Palomino Heavy,2035,4
22,Spotted Heavy,2035,3
23,Chocolate Heavy,2035,6
24,Clydesdale Heavy,2035,8
25,Appaloosa Heavy,2035,11
26,Lepoard Heavy,2035,14
27,PrimitiveDun Heavy,2035,13
28,RedDun Heavy,2035,10
33,Brown Unicorn,2037,0
34,Black Unicorn,2037,1
35,White Unicorn,2184,2
36,Grey Unicorn,2037,5
37,Palomino Unicorn,2037,4
38,Spotted Unicorn,2037,3
39,Chocolate Unicorn,2037,6
40,Clydesdale Unicorn,2037,7
41,Rainbow Unicorn,2164,7
49,Nightmare,2034,0
50,Undead,2036,0
51,Horse_Epic_Storm,2044,1
52,Horse_Epic_Frost,2161,2
53,Horse_Epic_Flame,2160,3
54,Horse_Epic_Earth,2159,0
55,Pink Unicorn,2223,15
56,Sea Horse,2047,1
57,Aboreal Horse Standard,2033,15
58,Aboreal Horse Heavy,2035,15
59,Clockwork Horse Standard,2058,4
60,Gemstone Horse Standard,2059,5
61,Dragon Fly Mount,1207,0
62,Wyvern Mount,1235,0
63,Gryphon Mount,1236,0
64,Stone Dragon,2333,0
65,Wingless Baby Stone,2340,0
66,Mino,1395,0
67,Chimera,1180,0
68,Evil Pixie,633,0
69,Troll,144,0
