Cata,Description,Part,Selection,Mat List
Num,,Num,Num,Id
48,Standard : Armor - Saddle,0,0,1
48,Standard : Armor - Light Armor,0,1,2
48,Standard : Armor - Medium Armor,0,2,3
48,Standard : Armor - Heavy Armor,0,3,4
48,Standard :No Saddle,0,4,0
48,Standard : Body - Standard Horse,2,0,5
48,Standard : No Barding,1,0,0
48,Standard : Tasset Barding - No Trim,1,1,10
48,Standard : Tasset Barding - Full Trim,1,2,11
48,Standard : Tasset Barding - Triangle Trim,1,3,12
48,Standard : Tasset Barding - Square Trim,1,4,13
48,Standard : Tasset Barding - Half Moon Trim,1,5,14
48,Standard : Tasset Barding - Full Trim w/ reigns,1,6,15
48,Standard : Tasset Barding - Triangle Trim w/ reigns,1,7,16
48,Standard : Tasset Barding - Square Trim  w/ reigns,1,8,17
48,Standard : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
48,Standard : Blanket Barding - No Trim,1,10,19
48,Standard : Blanket Barding - Full Trim,1,11,20
48,Standard : Blanket Barding - Triangle Trim,1,12,21
48,Standard : Blanket Barding - Square Trim,1,13,22
48,Standard : Blanket Barding - Half Moon Trim,1,14,23
48,Standard : Blanket Barding - Full Trim w/ reigns,1,15,24
48,Standard : Blanket Barding - Triangle Trim w/ reigns,1,16,25
48,Standard : Blanket Barding - Square Trim  w/ reigns,1,17,26
48,Standard : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
48,Standard : Half Barding - No Trim,1,19,28
48,Standard : Half Barding - Full Trim,1,20,29
48,Standard : Half Barding - Triangle Trim,1,21,30
48,Standard : Half Barding - Square Trim,1,22,31
48,Standard : Half Barding - Half Moon Trim,1,23,32
48,Standard : Half Barding - Full Trim w/ reigns,1,24,33
48,Standard : Half Barding - Triangle Trim w/ reigns,1,25,34
48,Standard : Half Barding - Square Trim  w/ reigns,1,26,35
48,Standard : Half Barding - Half Moon Trim  w/ reigns,1,27,36
48,Standard : Full Barding - No Trim,1,28,37
48,Standard : Full Barding - Full Trim,1,29,38
48,Standard : Full Barding - Triangle Trim,1,30,39
48,Standard : Full Barding - Square Trim,1,31,40
48,Standard : Full Barding - Half Moon Trim,1,32,41
48,Standard : Full Barding - Full Trim w/ reigns,1,33,42
48,Standard : Full Barding - Triangle Trim w/ reigns,1,34,43
48,Standard : Full Barding - Square Trim  w/ reigns,1,35,44
48,Standard : Full Barding - Half Moon Trim  w/ reigns,1,36,45
50,Heavy : Armor - Saddle,0,0,1
50,Heavy : Armor - Light Armor,0,1,2
50,Heavy : Armor - Medium Armor,0,2,3
50,Heavy : Armor - Heavy Armor,0,3,4
50,Heavy : Body - Heavy Horse,2,0,6
50,Heavy :No Saddle,1,4,0
50,Heavy : No Barding,1,1,0
50,Heavy : Tasset Barding - No Trim,1,1,10
50,Heavy : Tasset Barding - Full Trim,1,2,11
50,Heavy : Tasset Barding - Triangle Trim,1,3,12
50,Heavy : Tasset Barding - Square Trim,1,4,13
50,Heavy : Tasset Barding - Half Moon Trim,1,5,14
50,Heavy : Tasset Barding - Full Trim w/ reigns,1,6,15
50,Heavy : Tasset Barding - Triangle Trim w/ reigns,1,7,16
50,Heavy : Tasset Barding - Square Trim  w/ reigns,1,8,17
50,Heavy : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
50,Heavy : Blanket Barding - No Trim,1,10,19
50,Heavy : Blanket Barding - Full Trim,1,11,20
50,Heavy : Blanket Barding - Triangle Trim,1,12,21
50,Heavy : Blanket Barding - Square Trim,1,13,22
50,Heavy : Blanket Barding - Half Moon Trim,1,14,23
50,Heavy : Blanket Barding - Full Trim w/ reigns,1,15,24
50,Heavy : Blanket Barding - Triangle Trim w/ reigns,1,16,25
