,,0,1
ID,name,Filename,spare
1,Grail,B_emblem_001.dds,0
2,Dragon,B_emblem_002.dds,0
3,Cross,B_emblem_003.dds,0
4,Dragon Up,B_emblem_004.dds,0
5,Castle Tower,B_emblem_005.dds,0
6,Brazier,B_emblem_006.dds,0
7,Swordsnake,B_emblem_007.dds,0
8,Lion,B_emblem_008.dds,0
9,Lion,B_emblem_009.dds,0
10,Cross Swords,B_emblem_010.dds,0
11,Gauntlet Fist,B_emblem_011.dds,0
12,Lion Head,B_emblem_012.dds,0
13,,B_emblem_013.dds,0
14,,B_emblem_014.dds,0
15,,B_emblem_015.dds,0
16,,B_emblem_016.dds,0
17,,B_emblem_017.dds,0
18,,B_emblem_018.dds,0
19,,B_emblem_019.dds,0
20,,B_emblem_020.dds,0
21,,B_emblem_021.dds,0
22,,B_emblem_022.dds,0
23,,B_emblem_023.dds,0
24,,B_emblem_024.dds,0
25,,B_emblem_025.dds,0
26,,B_emblem_026.dds,0
27,,B_emblem_027.dds,0
28,,B_emblem_028.dds,0
29,,B_emblem_029.dds,0
30,,B_emblem_030.dds,0
31,,B_emblem_031.dds,0
32,,B_emblem_032.dds,0
33,,B_emblem_033.dds,0
34,,B_emblem_034.dds,0
35,,B_emblem_035.dds,0
36,,B_emblem_036.dds,0
37,,B_emblem_037.dds,0
38,,B_emblem_038.dds,0
39,,B_emblem_039.dds,0
40,,B_emblem_040.dds,0
41,Hammer,N_emblem_001.dds,0
42,Axe,N_emblem_002.dds,0
43,Horn,N_emblem_003.dds,0
44,Gate,N_emblem_004.dds,0
45,Hawk,N_emblem_005.dds,0
46,Cross Swords,N_emblem_006.dds,0
47,Sword,N_emblem_007.dds,0
48,Dragon Head,N_emblem_008.dds,0
49,Stacked Axes,N_emblem_009.dds,0
50,Wolf Head,N_emblem_010.dds,0
51,,N_emblem_011.dds,0
52,,N_emblem_012.dds,0
53,,N_emblem_013.dds,0
54,,N_emblem_014.dds,0
55,,N_emblem_015.dds,0
56,,N_emblem_016.dds,0
