2500 Limit,,NIF,,Expansion,[0] Flex,[1] Flex,[2] Flex,[3] Flex,[4] Flex,[5] Flex,[6] Flex,[7] Flex,[8] Flex,[9] Flex,Back,Housing,Frontiers,New,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata,Cata %,Helm
ID,Textual Name,Name,Strip Textures,Only,Idle,Cidle,Atk High,Atk Mid,CS01,CS03,CS04,CS06,CS07,Parry,Offset,Only,Only,Figure,Override 1,Override 2,Override 3,Override 4,Helm Hair,Helm Hair,Scale
1,Generic Loot,loot,0,0,,,,,,,,,,,,,,,,,,,1,,
11,Mace,B_cr_mace01,0,0,,,,,,,,,,,,,,,,,,,,,
16,Trident,th_trident,0,0,,,,,,,,,,,,,,,,,,,,,
28,Shield,sh_rounda,1,0,,,,,,,,,,,,,,,,,,,,,
29,Shield,sh_heatera,1,0,,,,,,,,,,,,,,,,,,,,,
30,Shield,sh_trishielda,1,0,,,,,,,,,,,,,,,,,,,,,
31,Shield,sh_towera,1,0,,,,,,,,,,,,,,,,,,,,,
36,Long Bow,B_bo_longbow01,0,0,,,,,,,,,,,,,,,,,,,,,
37,Cap Helm,helm1,1,0,,,,,,,,,,,,,,,,,,,,,
38,Full Helm,helm2,1,0,,,,,,,,,,,,,,,,,,,3,,
39,Chain Helm,helm3,1,0,,,,,,,,,,,,,,,,,,,3,,
40,Albion Gravestone,b_gravestone,0,0,,,,,,,,,,,,,,,,,,,,,
41,Crossbow,mi_crossbow,0,0,,,,,,,,,,,,,,,,,,,,,
42,Lute,in_lute,0,0,,,,,,,,,,,,,,,,,,,,,
43,Drum,in_drum,0,0,,,,,,,,,,,,,,,,,,,,,
59,Flute,in_flute,0,0,,,,,,,,,,,,,,,,,,,,,
60,Special Norse Spear,h_st_staff02,0,0,,,,,,,,,,,,,,,,,,,,,
66,Norse (Hum/Dwf) Helm 1,nhelm1,1,0,,,,,,,,,,,,,,,,,,,2,,
67,Norse (hum/dwf) helm 2,nhelm2,1,0,,,,,,,,,,,,,,,,,,,3,,
68,Norse (hum/dwf) helm 3,nhelm3,1,0,,,,,,,,,,,,,,,,,,,3,,
69,Troll helm 1,n_trlhelm1,1,0,,,,,,,,,,,,,,,,,,,2,,
70,Troll helm 2,n_trlhelm2,1,0,,,,,,,,,,,,,,,,,,,3,,
71,Troll helm 3,n_trlhelm3,1,0,,,,,,,,,,,,,,,,,,,3,,
72,VFX_helmet_NULL-SharF,VFX_helmet_NULL-SharF,0,4,,,,,,,,,,,,,,,,,,,1,,
73,VFX_helmet_NULL-CeltM,VFX_helmet_NULL-CeltM,0,4,,,,,,,,,,,,,,,,,,,1,,
74,VFX_helmet_NULL-CeltF,VFX_helmet_NULL-CeltF,0,4,,,,,,,,,,,,,,,,,,,1,,
75,unused,unused,,,,,,,,,,,,,,,,,,,,,,,
76,Norse (Hum/Dwf) Helm 1,nhelm1,1,0,,,,,,,,,,,,,,,,,,,2,,
77,Norse (hum/dwf) helm 2,nhelm2,1,0,,,,,,,,,,,,,,,,,,,3,,
78,Norse (hum/dwf) helm 3,nhelm3,1,0,,,,,,,,,,,,,,,,,,,3,,
79,B_bo_SaracenShortbow01_Energy,B_bo_SaracenShortbow01_Energy,0,1,,,,,,,,,,,,,,,,,,,,,
80,N_bo_VikingBeardedBow01_Energy,N_bo_VikingBeardedBow01_Energy,0,1,,,,,,,,,,,,,,,,,,,,,
81,H_bo_ElvenShortBow01_Energy,H_bo_ElvenShortBow01_Energy,0,1,,,,,,,,,,,,,,,,,,,,,
82,H_bo_ElvenLongbow01_Energy,H_bo_ElvenLongbow01_Energy,0,1,,,,,,,,,,,,,,,,,,,,,
83,Albion Pennant,pennant_a,0,0,,,,,,,,,,,,,,,,,,,,,
84,Midgard Pennant,pennant_m,0,0,,,,,,,,,,,,,,,,,,,,,
85,Hibernian Pennant,pennant_h,0,0,,,,,,,,,,,,,,,,,,,,,
86,Hibernian Helm 1,h_helm1,1,0,,,,,,,,,,,,,,,,,,,2,,
87,Hibernian Helm 2,h_helm2,1,0,,,,,,,,,,,,,,,,,,,3,,
88,Hibernian Helm 3,h_helm3,1,0,,,,,,,,,,,,,,,,,,,3,,
89,Hibernian Alternate helm 1,hf_helm1,1,0,,,,,,,,,,,,,,,,,,,2,,
90,Hibernian alternate helm 2,hf_helm2,1,0,,,,,,,,,,,,,,,,,,,3,,
91,Hibernian alternate helm 3,hf_helm3,1,0,,,,,,,,,,,,,,,,,,,3,,
92,Hib shortsword,h_1h_shortsword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
93,Hibernian Falcata,h_1h_falcata01,0,0,,,,,,,,,,,-10,,,,,,,,,,
94,hib thrusting dagger,h_th_dagger01,0,0,,,,,,,,,,,-10,,,,,,,,,,
95,hib stilletto,h_th_stilletto01,0,0,,,,,,,,,,,-10,,,,,,,,,,
96,Hib bastard swrod,h_1h_bastard01,0,0,,,,,,,,,,,-10,,,,,,,,,,
97,Hibernian Broadsword,h_1h_broadsword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
98,hib short spear,h_sp_shortspear01,0,0,,,,,,,,,,,-10,,,,,,,,,,
99,hib spear,h_sp_spear01,0,0,,,,,,,,,,,-10,,,,,,,,,,
100,hib 2h sword,h_2h_sword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
101,hib club,h_bl_club01,0,0,,,,,,,,,,,5,,,,,,,,,,
102,hib mace,h_bl_mace01,0,0,,,,,,,,,,,-10,,,,,,,,,,
103,hib hammer,h_bl_hammer01,0,0,,,,,,,,,,,-10,,,,,,,,,,
104,Hibernian Longsword,h_1h_longsword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
105,hib spiked club,h_bl_spikedclub01,0,0,,,,,,,,,,,-10,,,,,,,,,,
106,hib spiked mace,h_bl_spikedmace01,0,0,,,,,,,,,,,-10,,,,,,,,,,
107,hib Greatsword,h_2h_broad01,0,0,,,,,,,,,,,-10,,,,,,,,,,
108,hib 2h maul,h_2h_maul01,0,0,,,,,,,,,,,-10,,,,,,,,,,
109,hib 2h shilllagh,h_2h_shillelagh01,0,0,,,,,,,,,,,-10,,,,,,,,,,
110,hib 2h spiked mace,h_2h_spikedmace01,0,0,,,,,,,,,,,-10,,,,,,,,,,
111,hib dirk,h_th_dirk01,0,0,,,,,,,,,,,-10,,,,,,,,,,
112,hib rapier,h_th_rapier01,0,0,,,,,,,,,,,-10,,,,,,,,,,
113,hib wavy dagger,h_th_wavedagger01,0,0,,,,,,,,,,,-10,,,,,,,,,,
114,hib barbed spear,h_sp_barbedspear01,0,0,,,,,,,,,,,-10,,,,,,,,,,
115,hib long spear,h_sp_longspear01,0,0,,,,,,,,,,,-10,,,,,,,,,,
116,hib wavy spear,h_sp_wavedspear01,0,0,,,,,,,,,,,-10,,,,,,,,,,
117,hib hooked sword,h_1h_hookedsword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
118,hib sickle,h_1h_sickle,0,0,,,,,,,,,,,,,,,,,,,,,
119,Forge,tool_forge,0,0,,,,,,,,,,,,,,,,,,,,,
120,Stretcher,T_hidestretch,0,0,,,,,,,,,,,,,,,,,,,,,
121,Loom,T_loom,0,0,,,,,,,,,,,,,,,,,,,,,
122,Lathe,tool_lathe,0,0,,,,,,,,,,,,,,,,,,,,,
123,Trebuchet,trebuchet,0,0,,,,,,,,,,,,,,,,,,,,,
124,Hibernian Staff,h_st_staff03,0,0,,,,,,,,,,,,,,,,,,,,,
125,ballista,sballista_ani,0,0,,,,,,,,,,,,,,,,,,,,,
126,mangonel,smangonel_ani,0,0,,,,,,,,,,,,,,,,,,,,,
127,ram,sram_ani,0,0,,,,,,,,,,,,,,,,,,,,,
128,norse dagger,n_1h_dagger01,0,0,,,,,,,,,,,,,,,,,,,,,
129,norse shortsword,n_1h_shortsword01,0,0,,,,,,,,,,,,,,,,,,,,,
130,norse broadsword,n_1h_broadsword01,0,0,,,,,,,,,,,,,,,,,,,,,
131,norse longsword,n_1h_longsword01,0,0,,,,,,,,,,,,,,,,,,,,,
132,norse bastardsword,n_1h_bastardsword01,0,0,,,,,,,,,,,,,,,,,,,,,
133,norse 2h sword,n_2h_sword01,0,0,,,,,,,,,,,,,,,,,,,,,
134,norse 2h greatsword,n_2h_greatsword01,0,0,,,,,,,,,,,,,,,,,,,,,
135,norse beardedaxe,n_1h_beardedaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
136,norse war axe,n_1h_waraxe01,0,0,,,,,,,,,,,,,,,,,,,,,
137,norse spiked axe,n_1h_spikedaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
138,norse doubleaxe,n_1h_doubleaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
139,norsebattleaxe,n_2h_battleaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
140,norse greataxe,n_2h_greataxe01,0,0,,,,,,,,,,,,,,,,,,,,,
141,norse smallhammer,n_1h_smallhammer01,0,0,,,,,,,,,,,,,,,,,,,,,
142,norse hammer,n_1h_hammer01,0,0,,,,,,,,,,,,,,,,,,,,,
143,norse warhammer,n_1h_warhammer01,0,0,,,,,,,,,,,,,,,,,,,,,
144,norse pickhammer,n_1h_pickhammer01,0,0,,,,,,,,,,,,,,,,,,,,,
145,norse greathammer,n_1h_greathammer01,0,0,,,,,,,,,,,,,,,,,,,,,
146,norse 2h hammer,n_2h_hammer01,0,0,,,,,,,,,,,,,,,,,,,,,
147,norse 2h warhammer,n_2h_warhammer01,0,0,,,,,,,,,,,,,,,,,,,,,
148,norse 2h greathammer,n_2h_greathammer01,0,0,,,,,,,,,,,,,,,,,,,,,
149,norse bow,n_2h_longbow01,0,0,,,,,,,,,,,,,,,,,,,,,
150,norse 2h spear,n_2h_spear01,0,0,,,,,,,,,,,,,,,,,,,,,
151,norse 2h longspear,n_2h_longspear01,0,0,,,,,,,,,,,,,,,,,,,,,
152,norse 2h trident,n_2h_trident01,0,0,,,,,,,,,,,,,,,,,,,,,
153,norse 2h luggedspear,n_2h_luggedspear01,0,0,,,,,,,,,,,,,,,,,,,,,
154,norse 2h greatspear,n_2h_greatspear01,0,0,,,,,,,,,,,,,,,,,,,,,
155,norse 2hstaff,n_2h_staff01,0,0,,,,,,,,,,,,,,,,,,,,,
156,norse 2h shod staff,n_2h_shodstaff01,0,0,,,,,,,,,,,,,,,,,,,,,
157,norse 2h focus staff,n_2h_focusstaff01,0,0,,,,,,,,,,,,,,,,,,,,,
158,norse rod,n_1h_rod01,0,0,,,,,,,,,,,,,,,,,,,,,
159,norse rod 2,n_1h_rod02,0,0,,,,,,,,,,,,,,,,,,,,,
160,norse rod 3,n_1h_rod03,0,0,,,,,,,,,,,,,,,,,,,,,
161,norse wand 1,n_1h_wand01,0,0,,,,,,,,,,,,,,,,,,,,,
162,norse wand 2,n_1h_wand02,0,0,,,,,,,,,,,,,,,,,,,,,
163,norse wand 3,n_1h_wand03,0,0,,,,,,,,,,,,,,,,,,,,,
164,norse shortbow,n_2h_shortbow01,0,0,,,,,,,,,,,,,,,,,,,,,
165,norse greatbow,n_2h_greatbow01,0,0,,,,,,,,,,,,,,,,,,,,,
166,briton dagger,b_sl_dagger01,0,0,,,,,,,,,,,,,,,,,,,,,
167,briton shortsword,b_sl_shortsword01,0,0,,,,,,,,,,,,,,,,,,,,,
168,briton handaxe,b_sl_handaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
169,briton broadsword,b_sl_broadsword01,0,0,,,,,,,,,,,,,,,,,,,,,
170,briton scimitar,b_sl_scimitar01,0,0,,,,,,,,,,,,,,,,,,,,,
171,briton longsword,b_sl_longsword01,0,0,,,,,,,,,,,,,,,,,,,,,
172,briton bastard sword,b_sl_bastardsword01,0,0,,,,,,,,,,,,,,,,,,,,,
173,briton hammer,b_cr_hammer01,0,0,,,,,,,,,,,,,,,,,,,,,
174,briton mace,b_cr_mace01,0,0,,,,,,,,,,,,,,,,,,,,,
175,briton flanged mace,b_cr_flangedmace01,0,0,,,,,,,,,,,,,,,,,,,,,
176,briton spiked mace,b_cr_spikedmace01,0,0,,,,,,,,,,,,,,,,,,,,,
177,briton warhammer,b_cr_warhammer01,0,0,,,,,,,,,,,,,,,,,,,,,
178,briton dirk,b_th_dirk01,0,0,,,,,,,,,,,,,,,,,,,,,
179,briton stilletto,b_th_stilletto01,0,0,,,,,,,,,,,,,,,,,,,,,
180,briton rapier,b_th_rapier01,0,0,,,,,,,,,,,,,,,,,,,,,
181,Briton poignard,b_th_poignard01,0,0,,,,,,,,,,,,,,,,,,,,,
182,Briton gladius,b_th_gladius01,0,0,,,,,,,,,,,,,,,,,,,,,
183,briton 2h sword,b_2h_2hsword01,0,0,,,,,,,,,,,,,,,,,,,,,
184,briton battleaxe,b_2h_battleaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
185,briton greataxe,b_2h_greataxe01,0,0,,,,,,,,,,,,,,,,,,,,,
186,briton greathammer,b_2h_greathammer01,0,0,,,,,,,,,,,,,,,,,,,,,
187,briton greatsword,b_2h_greatsword01,0,0,,,,,,,,,,,,,,,,,,,,,
188,briton war mattock,b_2h_warmattock01,0,0,,,,,,,,,,,,,,,,,,,,,
189,briton pike,b_po_pike01,0,0,,,,,,,,,,,,,,,,,,,,,
