Effect,Desc,NIF Num,Attach,Max,Rate,Track,AutoScale,Rotate,Rotate,Collide,,
Num,,,Node,VisibleRange,,Angle,,Axis,Amount,,,
1,CorpseLight Red,1,Bip01,2500,100,0,1,0,0,1,,
2,CorpseLight Dark Blue,2,Bip01,2500,100,0,1,0,0,1,,
3,CorpseLight Green Face,3,Bip01,2500,100,0,1,0,0,1,,
4,CorpseLight Red Skull,4,Bip01,2500,100,0,1,0,0,1,,
5,CorpseLight Torch,5,Bip01,2500,100,0,1,0,0,1,,
6,CorpseLight WhtPrp,6,Bip01,2500,100,0,1,0,0,1,,
7,Cloud,7,Bip01,2500,100,0,1,0,0,1,,
8,Water Elemental,8,Bip01,2500,100,0,1,0,0,1,,
9,Algae Slime Blob,9,Bip01,2500,100,0,1,0,0,1,,
10,Blood Blob,10,Bip01,2500,100,0,1,0,0,1,,
11,Green Slime,11,Bip01,2500,100,0,1,0,0,1,,
12,Mucus Blob,12,Bip01,2500,100,0,1,0,0,1,,
13,Ochre Jelly,13,Bip01,2500,100,0,1,0,0,1,,
14,Oily Slime Blob,14,Bip01,2500,100,0,1,0,0,1,,
15,Pink Slime,15,Bip01,2500,100,0,1,0,0,1,,
16,Purple Slime,16,Bip01,2500,100,0,1,0,0,1,,
17,Acid Glob,17,Bip01,2500,100,0,0,0,0,1,,
18,CorrosiveCloud,18,Bip01,2500,100,0,1,0,0,1,,
19,Miasma,19,Bip01,2500,100,0,1,0,0,1,,
20,Noxious Fumes,20,Bip01,2500,100,0,1,0,0,1,,
21,Sulfur Cloud,21,Bip01,2500,100,0,1,0,0,1,,
22,Wisp,22,Bip01,2400,100,0,1,0,0,1,,
23,Gyro,23,targetchest,5000,100,0,1,0,0,0,,
24,Whirlwind,24,Bip01,2500,100,0,1,0,0,1,,
25,Aurora,25,Bip01,2500,100,0,1,0,0,0,,
26,Rift,26,Bip02,2500,100,0,1,0,0,0,,
30,Determination,30,wardnode,2500,100,1,0,0,0,1,,
31,Dissonating,31,wardnode,2500,100,1,0,0,0,1,,
32,Power,32,wardnode,2500,100,1,0,0,0,1,,
33,Prescience,33,wardnode,2500,100,1,0,0,0,1,,
34,Rejuvenation,34,wardnode,2500,100,1,0,0,0,1,,
35,Speedwarp,35,wardnode,2500,100,1,0,0,0,1,,
36,dissonancetrap alb,36,runenode,2500,100,0,0,0,0,1,,
37,dissonancetrap hib,37,runenode,2500,100,0,0,0,0,1,,
38,dissonancetrap mid,38,runenode,2500,100,0,0,0,0,1,,
39,poisonspike alb,39,runenode,2500,100,0,0,0,0,1,,
40,poisonspike hib,40,runenode,2500,100,0,0,0,0,1,,
41,poisonspike mid,41,runenode,2500,100,0,0,0,0,1,,
42,powertrap alb,42,runenode,2500,100,0,0,0,0,1,,
