Effect,Desc,Effect,Effect,Effect,Effect,Effect,Effect,,
Set,,1,2,3,4,5,6,,
1,Corpselight Red,1,0,0,0,0,0,,
2,CorpseLight Dark Blue,2,0,0,0,0,0,,
3,CorpseLight Green Face,3,0,0,0,0,0,,
4,CorpseLight Red Skull,4,0,0,0,0,0,,
5,CorpseLight Torch,5,0,0,0,0,0,,
6,CorpseLight WhtPrp,6,0,0,0,0,0,,
7,Cloud,7,0,0,0,0,0,,
8,Water Elemental,8,0,0,0,0,0,,
9,Algae Slime Blob,9,0,0,0,0,0,,
10,Blood Blob,10,0,0,0,0,0,,
11,Green Slime Blob,11,0,0,0,0,0,,
12,Mucus Blob,12,0,0,0,0,0,,
13,Ochre Jelly Blob,13,0,0,0,0,0,,
14,Oily Slime Blob,14,0,0,0,0,0,,
15,Pink Slime Blob,15,0,0,0,0,0,,
16,Purple Slime Blob,16,0,0,0,0,0,,
17,Acid Glob,17,0,0,0,0,0,,
18,Corrosive Cloud,18,0,0,0,0,0,,
19,Miasma,19,0,0,0,0,0,,
20,Noxious Fumes,20,0,0,0,0,0,,
21,Sulfur Cloud,21,0,0,0,0,0,,
22,Wisp,22,0,0,0,0,0,,
23,Gyro,23,0,0,0,0,0,,
24,Whirlwind,24,0,0,0,0,0,,
25,Aurora,25,0,0,0,0,0,,
26,Rift,26,0,0,0,0,0,,
27,Determination-Alb,30,54,0,0,0,0,,
28,Determination-Mid,30,55,0,0,0,0,,
29,Determination-Hib,30,56,0,0,0,0,,
30,Dissonating-Alb,31,54,0,0,0,0,,
31,Dissonating-Mid,31,55,0,0,0,0,,
32,Dissonating-Hib,31,56,0,0,0,0,,
33,Power-Alb,32,54,0,0,0,0,,
34,Power-Mid,32,55,0,0,0,0,,
35,Power-Hib,32,56,0,0,0,0,,
36,Prescience-Alb,33,54,51,0,0,0,,
37,Prescience-Mid,33,55,53,0,0,0,,
38,Prescience-Hib,33,56,52,0,0,0,,
39,Rejuvenation-Alb,34,54,0,0,0,0,,
40,Rejuvenation-Mid,34,55,0,0,0,0,,
41,Rejuvenation-Hib,34,56,0,0,0,0,,
42,Speedwarp-Alb,35,54,172,0,0,0,,
43,Speedwarp-Mid,35,55,173,0,0,0,,
44,Speedwarp-Hib,35,56,174,0,0,0,,
45,dissonancetrap alb,36,36,0,0,0,0,,
46,dissonancetrap hib,37,37,0,0,0,0,,
47,dissonancetrap mid,38,38,0,0,0,0,,
48,poisonspike alb,39,39,0,0,0,0,,
49,poisonspike hib,40,40,0,0,0,0,,
50,poisonspike mid,41,41,0,0,0,0,,
51,powertrap alb,42,42,0,0,0,0,,
52,powertrap hib,43,43,0,0,0,0,,
53,powertrap mid,44,44,0,0,0,0,,
54,siegewrecker alb,45,45,0,0,0,0,,
55,siegewrecker hib,46,46,0,0,0,0,,
56,siegewrecker mid,47,47,0,0,0,0,,
57,tanglesnare alb,48,48,0,0,0,0,,
58,tanglesnare hib,49,49,0,0,0,0,,
59,tanglesnare mid,50,50,0,0,0,0,,
60,Storm Alb,57,135,0,0,0,0,,
61,Storm Mid,58,135,0,0,0,0,,
62,Storm Hib,59,135,0,0,0,0,,
63,Flame Ring,60,0,0,0,0,0,,
64,Alb Thorn,61,0,0,0,0,0,,
65,Mid Thorn,62,0,0,0,0,0,,
66,Hib Thorn,63,0,0,0,0,0,,
67,Albion Tempest,85,64,0,0,0,0,,
68,Relic Pad,65,0,0,0,0,0,,
69,Color swirl,66,0,0,0,0,0,,
70,Purple Swirl,67,0,0,0,0,0,,
71,Flame SFx,68,0,0,0,0,0,,
72,Salamander,69,0,0,0,0,0,,
73,Flame Swirl,70,0,0,0,0,0,,
74,Campire,71,0,0,0,0,0,,
75,warlock1,72,0,0,0,0,0,,
76,warlock2,73,0,0,0,0,0,,
77,warlock3,74,0,0,0,0,0,,
78,warlock4,75,0,0,0,0,0,,
79,warlock5,76,0,0,0,0,0,,
80,Dark Crystal Fire,77,0,0,0,0,0,,
83,Shar Teleporter Effect,80,0,0,0,0,0,,
84,Inc Teleporter Effect,81,0,0,0,0,0,,
85,Dark Spire Crystal 1,82,0,0,0,0,0,,
86,Dark Spire Crystal 2,83,0,0,0,0,0,,
87,Quest Indicator,84,0,0,0,0,0,,
88, Midgard Tempest,86,64,0,0,0,0,,
89,Hibernia Tempest,87,64,0,0,0,0,,
90,teleporter_ground,88,0,0,0,0,0,, 
91,Warlock Cauldron Thingy,89,0,0,0,0,0,,
