Information,,NIF,Anim,Stride,Stride,Stride,Stride,Alternate,Expansion ,Figure,Ride,Figure,Cata,Vampire,Skeleton,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata Cloak,Cata Cloak,Cata Cloak,Cata Cloak,Cata Cloak,Cata Cloak,Mount,Z-Offset
ID,Textual Name,Name,Set,Run,Walk,Back,Strafe,Anim,Only,Type,Anims,Version,Index,Anim Set,Archive,Cloak Overide 1,Cloak Overide 2,Cloak Overide 3,Cloak Overide 4,Cloak Overide 5,Offset X,Offset Y,Offset Z,Unreadied X,Unreadied Y,Unreadied Z,Scale,Quest Ind
88,Albion Stone Minotaur,mino,357,120,90,54,48,0,4,1,,3,176,,6, , , , , , , , , , , ,135,
89,Albion Shade Minotaur,mino,357,120,90,54,48,0,4,1,,3,177,,6,,,,,,,, ,,,,135,
90,Albion Mummy Minotaur,mino,357,120,90,54,48,0,4,1,,3,178,,6,,,,,,,,,,,,135,
91,Midgard Stone Minotaur,mino,357,120,90,54,48,0,4,1,,3,179,,6, , , , , , , , , , , ,135,
92,Midgard Shade Minotaur,mino,357,120,90,54,48,0,4,1,,3,180,,6,,,,,,,, ,,,,135,
93,Midgard Mummy Minotaur,mino,357,120,90,54,48,0,4,1,,3,181,,6,,,,,,,,,,,,135,
94,Hibernian Stone Minotaur,mino,357,120,90,54,48,0,4,1,,3,182,,6, , , , , , , , , , , ,135,
95,Hibernian Shade Minotaur,mino,357,120,90,54,48,0,4,1,,3,183,,6,,,,,,,, ,,,,135,
96,Hibernian Mummy Minotaur,mino,357,120,90,54,48,0,4,1,,3,184,,6,,,,,,,,,,,,135,
97,Cata Inconnu Stone Female,inc_f,256,160,75,30,30,0,4,1,,3,64,,2,,,,1,,,,,,,500,90,
98,Cata Inconnu Shade Female,inc_f,256,160,75,30,30,0,4,1,,3,65,,2,,,,1,,,,,,,500,90,
99,Cata Inconnu Mummy  Female,inc_f,256,160,75,30,30,0,4,1,,3,66,,2,,,,1,,,,,,,500,90,
100,Cata Inconnu Stone Male,inc_m,255,160,72,30,30,0,4,1,,3,67,,2,,,,1,,,,,,,2250,95,
101,Cata Inconnu Shade Male,inc_m,255,160,72,30,30,0,4,1,,3,68,,2,,,,1,,,,,,,2250,95,
102,Cata Inconnu Mummy  Male,inc_m,255,160,72,30,30,0,4,1,,3,69,,2,,,,1,,,,,,,2250,95,
103,Cata Briton Stone Male,bri_m,233,178,70,70,70,0,4,1,,3,70,,1,,,,1,,,,,,, ,100,
104,Cata Briton Shade Male,bri_m,233,178,70,70,70,0,4,1,,3,71,,1,,,,1,,,,,,, ,100,
105,Cata Briton Mummy  Male,bri_m,233,178,70,70,70,0,4,1,,3,72,,1,,,,1,,,,,,, ,100,
106,Cata Briton Stone Female,bri_f,234,236,90,90,90,0,4,1,,3,73,,1,,,,1,,,,,,, ,100,
107,Cata Briton Shade Female,bri_f,234,236,90,90,90,0,4,1,,3,74,,1,,,,1,,,,,,, ,100,
108,Cata Briton Mummy  Female,bri_f,234,236,90,90,90,0,4,1,,3,75,,1,,,,1,,,,,,, ,100,
109,Cata Avalonian Stone Male,ava_m,241,160,75,62,54,0,4,1,,3,76,,2,,,,,,,,,,,,120,
110,Cata Avalonian Shade Male,ava_m,241,160,75,62,54,0,4,1,,3,77,,2,,,,,,,,,,,,120,
111,Cata Avalonian Mummy Male,ava_m,241,160,75,62,54,0,4,1,,3,78,,2,,,,,,,,,,,,120,
112,Cata Avalonian Stone Female,ava_f,242,188,75,58,52,0,4,1,,3,79,,2,,,,,,,,,,,,118,
113,Cata Avalonian Shade Female,ava_f,242,188,75,58,52,0,4,1,,3,80,,2,,,,,,,,,,,,118,
114,Cata Avalonian Mummy Female,ava_f,242,188,75,58,52,0,4,1,,3,81,,2,,,,,,,,,,,,118,
115,Cata Highlander Stone Male,hig_m,245,160,75,62,72,0,4,1,,3,82,,2,,,,,,,,,,,500,120,
116,Cata Highlander Shade Male,hig_m,245,160,75,62,72,0,4,1,,3,83,,2,,,,,,,,,,,500,120,
117,Cata Highlander Mummy Male,hig_m,245,160,75,62,72,0,4,1,,3,84,,2,,,,,,,,,,,500,120,
118,Cata Highlander Stone Female,hig_f,246,188,75,58,52,0,4,1,,3,85,,1,,,,,,,,,,,,109,
119,Cata Highlander Shade Female,hig_f,246,188,75,58,52,0,4,1,,3,86,,1,,,,,,,,,,,,109,
120,Cata Highlander Mummy Female,hig_f,246,188,75,58,52,0,4,1,,3,87,,1,,,,,,,,,,,,109,
121,Cata Half Ogre Stone Male,hal_m,257,320,60,54,48,0,4,1,,3,88,,1,,,,,,,,,,,1000,127,
122,Cata Half Ogre Shade Male,hal_m,257,320,60,54,48,0,4,1,,3,89,,1,,,,,,,,,,,1000,127,
123,Cata Half Ogre Mummy Male,hal_m,257,320,60,54,48,0,4,1,,3,90,,1,,,,,,,,,,,1000,127,
124,Cata Half Ogre Stone Female,hal_f,258,320,60,54,48,0,4,1,,3,91,,1,,,,,,,,,,,500,123,
125,Cata Half Ogre Shade Female,hal_f,258,320,60,54,48,0,4,1,,3,92,,1,,,,,,,,,,,500,123,
126,Cata Half Ogre Mummy Female,hal_f,258,320,60,54,48,0,4,1,,3,93,,1,,,,,,,,,,,500,123,
127,Cata Saracen Stone Male,sar_m,235,192,70,70,70,0,4,1,,3,94,,1,,,,,,,,,,,,100,
128,Cata Saracen Shade Male,sar_m,235,192,70,70,70,0,4,1,,3,95,,1,,,,,,,,,,,,100,
129,Cata Saracen Mummy Male,sar_m,235,192,70,70,70,0,4,1,,3,96,,1,,,,,,,,,,,,100,
130,Cata Saracen Stone Female,sar_f,236,160,75,54,48,0,4,1,,3,97,,2,,,,,,,,,,,,95,
131,Cata Saracen Shade Female,sar_f,236,160,75,54,48,0,4,1,,3,98,,2,,,,,,,,,,,,95,
132,Cata Saracen Mummy Female,sar_f,236,160,75,54,48,0,4,1,,3,99,,2,,,,,,,,,,,,95,
133,Cata Celt Stone Male,cel_m,265,160,75,75,75,0,4,1,,3,136,284,1,,,,,,,,,,,,100,
134,Cata Celt Shade Male,cel_m,265,160,75,75,75,0,4,1,,3,137,284,1,,,,,,,,,,,,100,
135,Cata Celt Mummy Male,cel_m,265,160,75,75,75,0,4,1,,3,138,284,1,,,,,,,,,,,,100,
136,Cata Celt Stone Female,cel_f,266,160,75,75,75,0,4,1,,3,139,285,2,,,,,,,,,,,,100,
137,Cata Celt Shade Female,cel_f,266,160,75,75,75,0,4,1,,3,140,285,2,,,,,,,,,,,,100,
138,Cata Celt Mummy Female,cel_f,266,160,75,75,75,0,4,1,,3,141,285,2,,,,,,,,,,,,100,
139,Cata Sylvan Stone Male,syl_m,267,160,72,75,75,0,4,1,,3,160,,2,,,,,,,,,,,,112,
140,Cata Sylvan Shade Male,syl_m,267,160,72,75,75,0,4,1,,3,161,,2,,,,,,,,,,,,112,
