Information,,NIF,Skins,,,,,,,,,,,,Sound,,,,,Head,Hug,,Obj,,Helm,Alt,Body ,cloak,Emblem,No FX,alternate,min float,max float,Combat ,,Arms,Head,LOD,Body,Mon,Legs,Body,Head,Arms,Legs,Shield,Lbody,Gloves,Boots,Gloves,Boots,Lbody,Body,Head,Arms,Gloves,Lbody,Boots,Legs,Biped,No,ForceHeld,ForceHeld,No,Shape Change,No,Cata,CatSkin,Cata Skin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,Cata,Cata,Cata,Cata,Cata,Cat No Armor,Cat No Armor,Cat No Armor,Cat No Armor,Cat No Armor,Cat No ,Cata Skinmode,Cata Eye Tint,Cata Skin Tint,Vampiir,Vampiir,Vampiir,Catac Alpha,Cata,Tutorial,Mount ,,
ID,name,#,Body,Head,Arms,Gloves,Lbody,Legs,Boots,Cloak,Helm,Scale,Tall,Shdw,Set,Kilt,Sarac.,Face,Hair,Geom.,Terr.,Fem,Scale,Norse,Scale,Helm,Multi,body,Cloak,Scale,anim,height,height,Tall,Width,Multi,Multi,Skin,Alpha,Effect,Multi,ENV Map,Env Map,Env Map,Env Map,Scale,Env Map,Env Map,Env Map,Multi,Multi ,Multi,Multi2,Multi2,Multi2,Multi2,Multi2,Multi2,Multi2,,Armor,LeftObj,RightObj,Spells,Flag,Held,Nif,Body,Lbody,Head,Arms,Gloves,Legs,Boots,Cloak,Hair,Helm Choce,Tint Arms,Tint hands,Tint Legs,Scale,Body,Arms,Gloves,Legs,Boots,Helm,Override,Override,Override, ,Skin Tint,Eye Tint,Arms,Helm,Con Flag,Number,Armor ,Barding
1,Demon,205,75,0,0,0,0,0,0,0,0,100,120,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Event Demon Nif,972,6770,6771,0,0,0,0,0,0,0,100,100,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vendo Man,290,1161,0,0,0,0,0,0,0,0,140,110,1,33,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Stag Man,291,1162,0,0,0,0,0,0,0,0,140,120,1,33,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Briton Female Merchant 1,209,115,1022,116,117,118,119,120,0,0,100,78,1,11,0,0,12,0,1,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,97,,,,,,,,,,,,,,,,,,
6,Briton Female Merchant 2,209,122,1024,123,124,125,119,120,0,0,100,78,1,11,0,0,13,0,2,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,97,,,,,,,,,,,,,,,,,,
7,Briton Female Merchant 3,209,126,1018,127,128,129,119,120,0,0,100,78,1,11,0,0,14,0,1,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,97,,,,,,,,,,,,,,,,,,
8,Briton Male Merchant 1,206,114,1020,116,117,118,119,120,0,0,100,80,1,1,0,0,8,0,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3046,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
9,Briton Male Merchant 2,206,121,1030,123,124,125,119,120,0,0,100,80,1,1,0,0,9,0,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3046,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
10,Briton Male Merchant 3,206,126,1017,127,128,129,119,120,0,0,100,80,1,1,0,0,10,0,2,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3046,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
11,Siege Tower,961,0,0,0,0,0,0,0,0,0,100,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mini Vendo Man Form,290,1161,0,0,0,0,0,0,0,0,85,110,1,33,0,0,0,0,0,0,0,115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lurikeen Stag Man,291,1162,0,0,0,0,0,0,0,0,70,60,1,33,0,0,0,0,0,0,0,115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,115,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Briton Male,206,1,1022,3,5,6,4,7,79,0,100,80,1,8,0,0,8,1,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3238,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
15,empty,0,0,0,0,0,0,0,0,0,0,100,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Briton Bandit 1,268,1055,0,0,0,0,0,0,0,0,95,80,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Britain Bandit 2,269,1055,0,0,0,0,0,0,0,0,95,80,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Briton Bandit Leader,270,1053,0,0,0,0,0,0,0,0,100,85,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Female briton bandit caster,273,1056,0,0,0,0,0,0,0,0,95,75,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Briton Bandit Lieutenant,271,1053,0,0,0,0,0,0,0,0,100,85,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,empty,0,0,0,0,0,0,0,0,0,0,100,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Player Skeleton w/Res,407,1511,0,0,0,0,0,0,0,0,100,75,1,32,0,0,0,0,0,0,0,0,0,93,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
