Information,,Skin,,Archive,Expansion,
ID,Textual Name,Name,MULTI,Num,Only,
1,Bri_f_Hair01.dds,Bri_f_Hair01.dds,0,1,4,
2,Bri_f_Head01.dds,Bri_f_Head01.dds,0,1,4,
3,Bri_F_MummyHead01.dds,Bri_F_MummyHead01.dds,0,1,4,
4,bri_f_ShadeHead.dds,bri_f_ShadeHead.dds,0,1,4,
5,Bri_f_stonehead.dds,Bri_f_stonehead.dds,0,1,4,
6,Bri_m_Hair01.dds,Bri_m_Hair01.dds,0,1,4,
7,Bri_m_Head01.dds,Bri_m_Head01.dds,0,1,4,
8,Bri_m_MummyHead01.dds,Bri_m_MummyHead01.dds,0,1,4,
9,bri_m_ShadeHead.dds,bri_m_ShadeHead.dds,0,1,4,
10,Bri_m_stonehead.dds,Bri_m_stonehead.dds,0,1,4,
11,b_epic_hunter_boots.dds,b_epic_hunter_boots.dds,0,25,4,
12,b_epic_hunter_gloves.dds,b_epic_hunter_gloves.dds,0,25,4,
13,CatCloak01.dds,CatCloak01.dds,0,17,4,
14,Cat_B_grd1_pvpcloak1.dds,Cat_B_grd1_pvpcloak1.dds,0,17,4,
15,Cat_cloak.dds,Cat_cloak.dds,0,17,4,
16,Cat_cloak2.dds,Cat_cloak2.dds,0,17,4,
17,Cat_cloak3.dds,Cat_cloak3.dds,0,17,4,
18,Cat_cloak_diamondlined.dds,Cat_cloak_diamondlined.dds,0,17,4,
19,Cat_cloak_lined.dds,Cat_cloak_lined.dds,0,17,4,
20,Cat_G1_cloak_A.dds,Cat_G1_cloak_A.dds,0,17,4,
21,Cat_G1_cloak_B.dds,Cat_G1_cloak_B.dds,0,17,4,
22,Cat_h_grd_pvpcloak1.dds,Cat_h_grd_pvpcloak1.dds,0,17,4,
23,Cat_mage_cloak1.dds,Cat_mage_cloak1.dds,0,17,4,
24,Cat_mage_cloak2.dds,Cat_mage_cloak2.dds,0,17,4,
25,Cat_mage_cloak3.dds,Cat_mage_cloak3.dds,0,17,4,
26,Cat_n_grd_pvpcloak1.dds,Cat_n_grd_pvpcloak1.dds,0,17,4,
27,Cat_SaintJohnsMantle.dds,Cat_SaintJohnsMantle.dds,0,17,4,
28,Cat_SimpleCloak.dds,Cat_SimpleCloak.dds,0,17,4,
29,Cat_SimpleCloak_diamondlined.dds,Cat_SimpleCloak_diamondlined.dds,0,17,4,
30,Cat_SimpleCloak_lined.dds,Cat_SimpleCloak_lined.dds,0,17,4,
31,Cat_TOA_cloak1.dds,Cat_TOA_cloak1.dds,0,17,4,
32,Cat_TOA_cloak1_diamondlined.dds,Cat_TOA_cloak1_diamondlined.dds,0,17,4,
33,Cat_TOA_cloak1_lined.dds,Cat_TOA_cloak1_lined.dds,0,17,4,
34,Cat_whitecloak_lined.dds,Cat_whitecloak_lined.dds,0,17,4,
35,chnArms01_05.dds,chnArms01_05.dds,0,10,4,
36,chnArms01_05_bump.dds,chnArms01_05_bump.dds,0,10,4,
37,chnArms01_05_gloss.dds,chnArms01_05_gloss.dds,0,10,4,
38,chnBody01_09.dds,chnBody01_09.dds,0,10,4,
39,chnBody01_09_bump.dds,chnBody01_09_bump.dds,0,10,4,
40,chnBody01_09_gloss.dds,chnBody01_09_gloss.dds,0,10,4,
41,chnBody04_Epic_Shaman_f.dds,cthBody01_Epic_Shaman_f.dds,0,27,4,
42,chnBody04_Epic_Shaman_m.dds,cthBody01_Epic_Shaman_m.dds,0,27,4,
43,chnBody04_Epic_Thane_f.dds,chnBody04_Epic_Thane_f.dds,0,10,4,
44,chnBody04_Epic_Thane_m.dds,chnBody04_Epic_Thane_m.dds,0,10,4,
45,chnBody04_Epic_Warrior_f.dds,chnBody04_Epic_Warrior_f.dds,0,10,4,
46,chnBody04_Epic_Warrior_m.dds,chnBody04_Epic_Warrior_m.dds,0,10,4,
