Blank,Row,Do,Not,Add ,Anything,,,,,,,,,,,,,,,,,,,,,
bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_normal.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_burned.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif,bfarmhouse_reconstructed.nif
bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_normal.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_burned.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif,bhouse2_reconstructed.nif
brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_normal.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_burned.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif,brit_shop_reconstructed.nif
Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_normal.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_burned.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif,Btavern_reconstructed.nif
B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_normal.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_burned.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif,B-bindst1_reconstructed.nif
lnghse2_normal.nif,lnghse2_normal.nif,lnghse2_normal.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_normal.nif,lnghse2_normal.nif,lnghse2_normal.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_normal.nif,lnghse2_normal.nif,lnghse2_normal.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif,lnghse2_frozen.nif
Nblacksmith_normal.nif,Nblacksmith_normal.nif,Nblacksmith_normal.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_normal.nif,Nblacksmith_normal.nif,Nblacksmith_normal.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_normal.nif,Nblacksmith_normal.nif,Nblacksmith_normal.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif,Nblacksmith_frozen.nif
nrshse1_normal.nif,nrshse1_normal.nif,nrshse1_normal.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_normal.nif,nrshse1_normal.nif,nrshse1_normal.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_normal.nif,nrshse1_normal.nif,nrshse1_normal.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif,nrshse1_frozen.nif
nrs-hut1_normal.nif,nrs-hut1_normal.nif,nrs-hut1_normal.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_normal.nif,nrs-hut1_normal.nif,nrs-hut1_normal.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_normal.nif,nrs-hut1_normal.nif,nrs-hut1_normal.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif,nrs-hut1_frozen.nif
NTavern_normal.nif,NTavern_normal.nif,NTavern_normal.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_normal.nif,NTavern_normal.nif,NTavern_normal.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_normal.nif,NTavern_normal.nif,NTavern_normal.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif,NTavern_frozen.nif
