Information,,NIF,Icon,Skins,Fem,,,,,,,,Head,Body,Lbody,Cloak,On,,Combat,Left,Sound,Apply,Show,Alternate,Use,Siege,detail,Alternate,Alternate,Alternate,Alternate,Arms,Gloves,Legs,Boots,HouseItem,Fem,Fem,Fem,Fem,Fem,Fem,House,Garden House,Length,Width,X Offset,Y Off Set,Multi 1,Multi 2,Env Map,Colideable,Object Idle,Object Run,Object,Alb Realm,Mid Realm,Hib Realm,Siege,Siege,Siege,# Small,# Large,Player,Cata,CataSkin,CataSkin,CataSkin,CataSkin,CataSkin,CataSkin,CataSkin,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata,Cata Helm,RVR,Weapon,Weapon,Ground,Full Helm,Ignore Cata
ID,name,#,#,Body,Body,Arms,Gloves,Lbody,Legs,Boots,Cloak,Helm,#,#,#,#,Belt,Shield,Stance,Hand,Set,Texture,Name,NIF,Emblem,Equipment,texture,Nif 2,Nif 3,Nif 4,Nif 5,#,#,#,#,Nif,Body#,Lbody#,Arms#,Gloves#,Legs#,Boots#,Collide,Height,,,,,,,,,Anim,Anim,Effect,Effect,Effect,Effect,Load,Fire,Effect,Siege,Siege,Boat Flag,Status,Body,Fbody,Arms,Gloves,Legs,Boots,Cloak,Body#,Gloves#,Boots#,Arms#,Legs#,Cloak#,Nif1,Nif2,Nif3,Nif4,Nif5,Nif6,Nif7,Nif8,Nif9,Nif10,Nif11,Nif12,Texture,Precache,Effect,Post Scale,Nif,Head Swap,NoArmor Helm
1,briton dagger,166,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Briton hand axe,168,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Briton short sword,167,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,briton longsword,171,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,briton boradsword,169,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,briton 2h sword,183,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Great Sword,187,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scimitar,170,204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Battle Axe,184,217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bastard Sword,172,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Club,11,218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Hammer,173,210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mace,174,211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Flanged Mace,175,212,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,War Hammer,177,210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
