Information,,Skin,Multi,Archive,Expansion,Material,Material,Material
ID,Textual Name,Name,,Num,Only,BaseTex,Tint Chan,Pass Alpha
301,Hard Leather,b_lea1_body1m.tga,0,1,0,0,,
302,Hard Leather,b_lea1_body1f.tga,0,1,0,0,,
303,Hard Leather,b_lea1_arm1.tga,0,1,0,0,,
304,Hard Leather,b_lea1_glov1.tga,0,1,0,0,,
305,Hard Leather,b_lea1_lbody1.tga,0,1,0,0,,
306,Hard Leather,b_lea1_leg1.tga,0,1,0,0,,
307,Hard Leather,b_lea1_boot1.tga,0,1,0,0,,
308,Padded Leather,b_lea2_body1m.tga,0,1,0,0,,
309,Padded Leather,b_lea2_body1f.tga,0,1,0,0,,
310,Padded Leather,b_lea2_arm1.tga,0,1,0,0,,
311,Padded Leather,b_lea2_glov1.tga,0,1,0,0,,
312,Padded Leather,b_lea2_lbody1.tga,0,1,0,0,,
313,Padded Leather,b_lea2_leg1.tga,0,1,0,0,,
314,Padded Leather,b_lea2_boot1.tga,0,1,0,0,,
315,Padded Leather,b_lea2_helm1.tga,0,7,0,0,,
316,Reinforced Leather,b_lea3_body1m.tga,0,1,0,0,,
317,Reinforced Leather,b_lea3_body1f.tga,0,1,0,0,,
318,Reinforced Leather,b_lea3_arm1.tga,0,1,0,0,,
319,Reinforced Leather,b_lea3_glov1.tga,0,1,0,0,,
320,Reinforced Leather,b_lea3_lbody1.tga,0,1,0,0,,
321,Reinforced Leather,b_lea3_leg1.tga,0,1,0,0,,
322,Reinforced Leather,b_lea3_boot1.tga,0,1,0,0,,
323,Plated Studded,b_std1_body1m.tga,0,1,0,0,,
324,Plated Studded,b_std1_body1f.tga,0,1,0,0,,
325,Plated Studded,b_std1_arm1.tga,0,1,0,0,,
326,Plated Studded,b_std1_glov1.tga,0,1,0,0,,
327,Plated Studded,b_std1_lbody1.tga,0,1,0,0,,
328,Plated Studded,b_std1_leg1.tga,0,1,0,0,,
329,Plated Studded,b_std1_boot1.tga,0,1,0,0,,
330,Studded,b_std2_body1m.tga,0,1,0,0,,
331,Studded,b_std2_body1f.tga,0,1,0,0,,
332,Studded,b_std2_arm1.tga,0,1,0,0,,
333,Studded,b_std2_glov1.tga,0,1,0,0,,
334,Studded,b_std2_lbody1.tga,0,1,0,0,,
335,Studded,b_std2_leg1.tga,0,1,0,0,,
336,Studded,b_std2_boot1.tga,0,1,0,0,,
337,Chain,b_chn1_body1m.tga,0,1,0,0,,
338,Chain,b_chn1_body1f.tga,0,1,0,0,,
339,Chain,b_chn1_arm1.tga,0,1,0,0,,
340,Chain,b_chn1_glov1.tga,0,1,0,0,,
341,Chain,b_chn1_lbody1.tga,0,1,0,0,,
342,Chain,b_chn1_leg1.tga,0,1,0,0,,
343,Chain,b_chn1_boot1.tga,0,1,0,0,,
344,Chain,b_chn1_helm1.tga,0,7,0,0,,
345,Plate,b_plt1_body1m.tga,0,2,0,0,,
346,Plate,b_plt1_body1f.tga,0,2,0,0,,
347,Plate,b_plt1_arm1.tga,0,2,0,0,,
348,Plate,b_plt1_glov1.tga,0,2,0,0,,
349,Plate,b_plt1_lbody1.tga,0,2,0,0,,
350,Plate,b_plt1_leg1.tga,0,2,0,0,,
351,Plate,b_plt1_boot1.tga,0,2,0,0,,
352,Plate,b_plt1_helm1.tga,0,7,0,0,,
353,Plate,b_plt1_helm2.tga,0,7,0,0,,
354,Ribbed Plate,b_plt2_body1m.tga,0,10,0,0,,
355,Ribbed Plate,b_plt2_body1f.tga,0,10,0,0,,
356,Ribbed Plate,b_plt2_arm1.tga,0,10,0,0,,
357,Ribbed Plate,b_plt2_glov1.tga,0,10,0,0,,
358,Ribbed Plate,b_plt2_lbody1.tga,0,10,0,0,,
359,Ribbed Plate,b_plt2_leg1.tga,0,10,0,0,,
360,Ribbed Plate,b_plt2_boot1.tga,0,10,0,0,,
361,cloak guy stuff,cloak.tga,0,1,0,0,,
362,New Cloak,cloak.tga,0,1,0,0,,
363,Robe 1 body,b_rob1_body3m.tga,0,3,0,0,,
364,Robe 1 Body female,b_rob1_body3f.tga,0,3,0,0,,
365,Robe 1 Lower Body,b_rob1_lbody3.tga,0,3,0,0,,
366,Robe 1 Arms,b_rob1_arm3.tga,0,3,0,0,,
367,Robe 2 Body,b_rob2_body3m.tga,0,3,0,0,,
368,Robe 2 body Female,b_rob2_body3f.tga,0,3,0,0,,
369,Robe 2 Lower Body,b_rob2_lbody3.tga,0,3,0,0,,
370,Robe 2 Arms,b_rob2_arm3.tga,0,3,0,0,,
371,Robe 3 Body,b_rob3_body3m.tga,0,3,0,0,,
372,Robe 3 Body Female,b_rob3_body3f.tga,0,3,0,0,,
373,Robe 3 Lower Body,b_rob3_lbody3.tga,0,3,0,0,,
374,Robe 3 Arms,b_rob3_arm3.tga,0,3,0,0,,
375,Robe 4 Body,b_rob4_body3m.tga,0,3,0,0,,
376,Robe 4 body F,b_rob4_body3f.tga,0,3,0,0,,
377,Robe 5 Body,b_rob5_body3m.tga,0,3,0,0,,
378,Robe 5 body F,b_rob5_body3f.tga,0,3,0,0,,
379,Guard,g1_cloak_a.tga,0,1,0,0,,
380,Guard,g1_cloak_b.tga,0,1,0,0,,
381,Guard,g1_helm1.tga,0,6,0,0,,
382,Guard,g1_helm2.tga,0,6,0,0,,
383,Cloth,B_cth2_arm1.tga,0,1,0,0,,
384,Cloth,B_cth2_body1F.tga,0,1,0,0,,
385,Cloth,B_cth2_body1M.tga,0,1,0,0,,
386,Cloth,B_cth2_boot1.tga,0,1,0,0,,
387,Cloth,B_cth2_glov1.tga,0,1,0,0,,
388,Cloth,B_cth2_Lbody1.tga,0,1,0,0,,
389,Cloth,B_cth2_leg1.tga,0,1,0,0,,
390,Green-Gold Cloak,B_cloak1.tga,0,1,0,0,,
391,Crude Leather,b_lea0_body1m.tga,0,1,0,0,,
