Information,,Skin,,Archive,Expansion,,Housing,Material,Material,Material
ID,Textual Name,Name,MULTI,Num,Only,Precache,Only,BaseMap,Tint Chan,Pass Alpha
1,Briton,b_cth1_body1m.tga,0,1,0,0,,0,,
2,Briton,b_cth1_body1f.tga,0,1,0,0,,0,,
3,Briton,b_cth1_arm1.tga,0,1,0,0,,0,,
4,Briton,b_cth1_leg1.tga,0,1,0,0,,0,,
5,Briton,b_cth1_glov1.tga,0,1,0,0,,0,,
6,Briton,b_cth1_lbody1.tga,0,1,0,0,,0,,
7,Briton,b_cth1_boot1.tga,0,1,0,0,,0,,
8,Briton Male Head,b_mhed1.tga,1,1,0,0,,0,,
9,Briton Male Head,b_mhed2.tga,1,1,0,0,,0,,
10,Briton Male Head,b_mhed3.tga,1,1,0,0,,0,,
11,Briton Male Head,b_mhed4.tga,1,1,0,0,,0,,
12,Briton Female Head,b_fhed1.tga,1,1,0,0,,0,,
13,Briton Female Head,b_fhed2.tga,1,1,0,0,,0,,
14,Briton Female Head,b_fhed3.tga,1,1,0,0,,0,,
15,Briton Female Head,b_fhed4.tga,1,1,0,0,,0,,
16,Highlander,h_cth1_body1m.tga,0,1,0,0,,0,,
17,Highlander,h_cth1_body1f.tga,0,1,0,0,,0,,
18,Highlander,h_cth1_arm1.tga,0,1,0,0,,0,,
19,Highlander,h_cth1_glov1.tga,0,1,0,0,,0,,
20,Highlander,h_cth1_lbody1.tga,0,1,0,0,,0,,
21,Highlander,h_cth1_leg1.tga,0,22,0,0,,0,,
22,Highlander,h_cth1_boot1.tga,0,1,0,0,,0,,
24,Highland Male Head,h_mhed1.tga,1,1,0,0,,0,,
25,Highland Male Head,h_mhed2.tga,1,1,0,0,,0,,
26,Highland Male Head,h_mhed3.tga,1,1,0,0,,0,,
27,Highland Male Head,h_mhed4.tga,1,1,0,0,,0,,
28,Highland Female Head,h_fhed1.tga,1,1,0,0,,0,,
29,Highland Female Head,h_fhed2.tga,1,1,0,0,,0,,
30,Highland Female Head,h_fhed3.tga,1,1,0,0,,0,,
31,Highland Female Head,h_fhed4.tga,1,1,0,0,,0,,
32,Saracen,s_cth1_body1m.tga,0,1,0,0,,0,,
33,Saracen,s_cth1_body1f.tga,0,1,0,0,,0,,
34,Saracen,s_cth1_arm1.tga,0,1,0,0,,0,,
35,Saracen,s_cth1_glov1.tga,0,1,0,0,,0,,
36,Saracen,s_cth1_lbody1.tga,0,1,0,0,,0,,
37,Saracen,s_cth1_leg1.tga,0,1,0,0,,0,,
38,Saracen,s_cth1_boot1.tga,0,1,0,0,,0,,
39,Saracen Male Head,s_mhed1.tga,1,1,0,0,,0,,
40,Saracen Male Head,s_mhed2.tga,1,1,0,0,,0,,
41,Saracen Male Head,s_mhed3.tga,1,1,0,0,,0,,
42,Saracen Male Head,s_mhed4.tga,1,1,0,0,,0,,
44,Saracen Female Head,s_fhed1.tga,1,1,0,0,,0,,
45,Saracen Female Head,s_fhed2.tga,1,1,0,0,,0,,
46,Saracen Female Head,s_fhed3.tga,1,1,0,0,,0,,
47,Saracen Female Head,s_fhed4.tga,1,1,0,0,,0,,
49,Avalonian,a_cth1_body1m.tga,0,1,0,0,,0,,
50,Avalonian,a_cth1_body1f.tga,0,1,0,0,,0,,
