Effect,Effect,Effect,Effect,Effect,Effect,Track,Auto,Spin,Angle,Focus,Focus,Focus,Focus,Focus
ID,Name,NIF,Node,Duration,Rate,Angle,Scale,Axis,,Effect,Freq,Speed,Timeout,TargetFX
1,L Sparkle,2,Bip01 L Held,3000,100,0,1,,,,,,,
2,R Sparkle,2,Bip01 R Held,3000,100,0,1,,,,,,,
3,bright green glows drop on sphere,31,rootnode,4000,100,0,1,,,,,,,
4,Quick blue heal,5,rootnode,2000,100,0,1,,,,,,,
5,purple twinkle sphere,25,rootnode,4000,100,0,1,,,,,,,
6, green creep rot,9,rootnode,7000,100,0,1,,,,,,,
7,Small fire,7,targetchest,3000,100,0,0,,,,,,,
8,Cramp,10,Bip01 Pelvis,2000,100,0,1,,,,,,,
9,rusty sawblade large teeth,11,rootnode,4000,100,0,1,,,,,,,
10,rusty sawblade small teeth,12,rootnode,4000,100,0,1,,,,,,,
11,quick electric spark flash,188,targetchest,1000,100,0,1,,,,,,,
12,quick electric arcs hit,189,targetchest,500,100,0,1,,,,,,,
13,spherical jacob's ladder,362,rootnode,2000,100,0,1,,,,,,,
14,haste,16,rootnode,2000,100,0,1,,,,,,,
15,healing spiral with lightshafts,17,Bip01 Pelvis,4000,100,0,1,,,,,,,
16,center twinkle ripple,18,rootnode,2000,100,0,1,,,,,,,
17,levitate,19,rootnode,2500,100,0,1,,,,,,,
18,blue swirl atom collapsing,20,rootnode,2000,100,1,1,,,,,,,
19,green triswirl,104,targetchest,2000,100,0,1,,,,,,,
20,green multiswirl,105,targetchest,3000,100,0,1,,,,,,,
21,flameswirl,27,Bip01 Pelvis,3000,100,0,1,,,,,,,
22,rainbow triswirl,106,rootnode,2000,100,0,1,,,,,,,
23,dodeca shield,28,Bip01 Pelvis,3000,100,0,1,,,,,,,
24,leaves closing,221,rootnode,3000,100,0,1,,,,,,,
25,generic blessing,24,Bip01 Pelvis,3000,100,0,1,,,,,,,
26,blood cloud,25,Bip01 Pelvis,1000,100,0,1,,,,,,,
27,multicolor triswirl,23,targetchest,2000,100,0,1,,,,,,,
28,death cloud (do not erase),44,Bip01 Pelvis,9000,100,0,1,,,,,,,
29,fireball,31,Bip01 Pelvis,1000,100,0,0,,,,,,,
30,heat sphere,32,rootnode,4000,100,0,1,,,,,,,
31,fire arrow,33,Bip01 Pelvis,3000,100,0,0,,,,,,,
32,yellow halo,34,Bip01 Head,3000,100,0,1,,,,,,,
33,poison cloud,35,Bip01 Pelvis,10000,100,0,1,,,,,,,
34,Large blue ground shockwave/circular arcs,42,rootnode,2000,100,0,1,,,,,,,
35,rippling mirror sphere shield,37,Bip01 Pelvis,2000,100,0,1,,,,,,,
36,cold gather anim,38,Bip01 Pelvis,4000,100,0,1,,,,,,,
37, cold hand right,39,Bip01 R Held,3000,100,0,1,,,,,,,
38,cold hand left,39,Bip01 L Held,3000,100,0,1,,,,,,,
39,green to orange glows drop on sphere,33,rootnode,4000,100,0,1,,,,,,,
40,frostspray hit/groundsplash,41,rootnode,3000,100,0,1,,,,,,,
41,Small Red pain flash (Pelvis),72,Bip01 Pelvis,500,100,0,1,,,,,,,
42,vertical red shockhit (Head),73,Bip01 Head,2000,100,0,1,,,,,,,
43,translucent green goo drip,44,targetchest,4000,100,0,1,,,,,,,
44,orangish creep rot,45,rootnode,6000,100,0,1,,,,,,,
45,purple sparkle cloud,46,Bip01 Pelvis,5000,100,0,1,,,,,,,
46,illness1,47,Bip01 Pelvis,5000,100,0,1,,,,,,,
47,sprain1,48,Bip01 Pelvis,2300,100,0,1,,,,,,,
48,generic spirit ruin,49,Bip01 Pelvis,4300,100,0,1,,,,,,,
49,will drain,50,Bip01 Pelvis,3830,100,0,1,,,,,,,
50,Small Red pain flash (Head),72,Bip01 Head,500,100,0,1,,,,,,,
51,Steamcloud hit,190,Bip01 Pelvis,3000,100,0,1,,,,,,,
