Spell,Spell (level),Spell,Caster,Caster,Caster,Caster,Caster,Caster,Caster,Projectile,Target,Buildup,Pulse,Sound,Radius,Resist,Projectile,Play,Focus,Remove
ID,Name,Icon,Anim1,Anim2,Anim3,Effect1A,Effect1B,Effect2,Effect3,Effect,Effect,Effect,Effect,Set,Effect,Effect,Lag,Anims,CasterFX,Effect on Cast
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;,WIZARD,,,,,,,,,,,,,,,,,,,
;0,Path of Earth,,,,,,,,,,,,,,,,,,,
1,Amethyst Shield,1000,47,48,49,1,2,0,0,0,191,0,0,9,0,332,,,,
2,Amethyst Shield (Enhanced),1001,47,48,49,1,2,0,0,0,191,0,0,9,0,332,,,,
3,Ruby Shield,1002,47,48,49,1,2,0,0,0,192,0,0,9,0,332,,,,
4,Ruby Shield (Enhanced),1003,47,48,49,1,2,0,0,0,192,0,0,9,0,332,,,,
5,Cobalt Shield,1004,47,48,49,1,2,0,0,0,193,0,0,9,0,332,,,,
6,Cobalt Shield (Enhanced),1005,47,48,49,1,2,0,0,0,193,0,0,9,0,332,,,,
7,Emerald Shield,1006,47,48,49,1,2,0,0,0,194,0,0,9,0,332,,,,
8,Emerald Shield (Enhanced),1007,47,48,49,1,2,0,0,0,194,0,0,9,0,332,,,,
9,Diamond Shield,1008,47,48,49,1,2,0,0,0,195,0,0,9,0,332,,,,
10,Diamond Shield (Enhanced),1009,47,48,49,1,2,0,0,0,195,0,0,9,0,332,,,,
11,Minor Earthen Power,1010,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
12,Earthen Power,1010,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
13,Greater Earthen Power,1011,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
14,Minor Earthen Burst,1011,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
15,Earthen Burst,1012,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
16,Great Earthen Burst,1012,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
17,Earthen Fury,1013,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
18,Greater Earthen Fury,1014,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
21,Buffer of Earth,2332,47,48,49,1,2,0,0,0,35,0,0,18,0,332,,,,
22,Buffer of Stone,2334,47,48,49,1,2,0,0,0,35,0,0,18,0,332,,,,
23,Earthen Rage,303,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
24,Greater Earthen Rage,304,32,33,34,124,125,0,0,0,190,0,0,18,0,332,,,,
25,Fusi Buff,942,35,36,37,1,2,0,0,0,188,0,0,10,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;50,Calefaction,,,,,,,,,,,,,,,,,,,
51,Minor Shield of Magma,1400,35,36,37,124,125,0,0,0,438,0,0,19,0,332,,,,
52,Shield of Magma,1400,35,36,37,124,125,0,0,0,438,0,0,19,0,332,,,,
53,Greater Shield of Magma,1401,35,36,37,124,125,0,0,0,30,0,0,19,0,332,,,,
54,Minor Shell of Magma,1401,35,36,37,124,125,0,0,0,30,0,0,19,0,332,,,,
55,Shell of Magma,1402,35,36,37,124,125,81,0,0,30,0,0,19,0,332,,,,
56,Greater Shell of Magma,1403,35,36,37,124,125,81,0,0,439,0,0,19,0,332,,,,
57,Exalted Magma Shield,1404,35,36,37,124,125,81,0,0,439,0,0,19,0,332,,,,
61,Bolt of Lava,1020,16,17,18,124,125,0,0,119,114,0,0,7,0,332,,,,
62,Bolt of Lava (Enhanced),1020,16,17,18,124,125,0,0,120,115,0,0,7,0,332,,,,
63,Lava Strike,1021,16,17,18,124,125,0,0,121,116,0,0,7,0,332,,,,
64,Lava Strike (Enhanced),1021,16,17,18,124,125,0,0,121,116,0,0,7,0,332,,,,
65,Lava Force,1022,16,17,18,124,125,0,0,122,117,0,0,7,0,332,,,,
66,Lava Force (Enhanced),1022,16,17,18,124,125,0,0,122,117,0,0,7,0,332,,,,
67,Lava Strike,1023,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
68,Lava Strike (Enhanced),1023,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
69,Lava's Fury,1024,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
71,Molten Earth,2185,35,36,37,124,125,0,0,0,445,0,0,18,445,332,,,,
72,Lava Field,2186,35,36,37,124,125,0,0,0,446,0,0,18,446,332,,,,
73,Expanse of Magma,2186,35,36,37,124,125,0,0,0,447,0,0,18,447,332,,,,
74,Molten Puddle,2187,35,36,37,124,125,0,0,0,449,0,0,18,445,332,,,,
75,Molten Pool,2187,35,36,37,124,125,0,0,0,450,0,0,18,446,332,,,,
76,Molten Lake,2188,35,36,37,124,125,0,0,0,451,0,0,18,447,332,,,,
77,Molten Ocean,2189,35,36,37,124,125,0,0,0,452,0,0,18,448,332,,,,
;,1.83 change,,,,,,,,,,,,,,,,,,,
78,Chains of Frost,895,16,17,18,37,38,40,0,0,201,0,0,15,201,332,,,,
79,Chains of Ice,897,16,17,18,37,38,40,0,0,201,0,0,15,201,332,,,,
80,Chains of Permafrost,899,16,17,18,37,38,40,0,0,201,0,0,15,201,332,,,,
81,Earth Eddies,1560,35,36,37,145,146,0,34,0,136,0,0,18,294,332,,,,
82,Earth Splash,1561,35,36,37,145,146,0,34,0,136,0,0,18,294,332,,,,
83,Earth Ripple,1562,35,36,37,145,146,0,34,0,34,0,0,18,294,332,,,,
