1500 limit,,,Expansion,Housing
NIF ID,NIF Description,NIF Filename,Only,Only
1,Blank spell,empty,0,0
2,blue sparkles,cast1,0,0
3,green column with rings,grnscanrings_hit,0,0
4,blue column with rings,bluscanrings_hit,0,0
5,quick blue heal,heal,0,0
6,gold column with rings,gldscanrings_hit,0,0
7,small 3 sec fire,smallflame,0,0
8,chimney smoke,chimsmoke,0,1
9,Creeprot,creeprot,0,0
10,squiggly red diagonal parts.,cramp,0,0
11,rusty sawblade large teeth,sawblade1_hit,0,0
12,rusty sawblade small teeth,sawblade2_hit,0,0
13,quadriped red ground streaks rising,quad_redstreaks1_sfx,0,0
14,black wolf red eye glow/burn,wolf_redeyes_sfx,0,0
15,lion green eye glow,lion_grneyes_sfx,0,0
16,Floating big bluish sparkles,haste,0,0
17,healing spiral with lightbeams,healing,0,0
18,sparkle column,leaping,0,0
19,Sparkles,levitate,0,0
20,blue swirl atom collapsing,bluatom1_hit,0,0
21,quadriped green flames rising,quad_grnflames1_sfx,0,0
22,vines whip around ankles,vinewhip_hit,0,0
23,Colorful triswirl,coltriswirl_hit,0,0
24,Purple spiral up,bless1,0,0
25,purple twinkle sphere,twnksphere2_hit,0,0
26,green goo triswirl,gooswirl_hit,0,0
27,spinning flame ring,flameswirl,0,0
28,iridescent dodeca shield,shield,0,0
29,fungal shell/shield,fungshld_hit,0,0
30,oakleaves falling,oakleaves_sfx,0,0
31,bright green glows drop on sphere,grndropsphere1_hit,0,0
32,heat sphere/damage shield,alb_heatsphere_hit,0,0
33,green to orange glows drop on sphere,grndropsphere2_hit,0,0
34,Golden halo,blesshalo,0,0
35,"poison cloud, greener than dcloud",poisoncloud,0,0
36,ground firesplash,alb_firesplash_hit,0,0
37,ripply mirror sphere shield,sphereshield,0,0
38,cold gather animation,alb_cold_gat,0,0
39,cold spell hand sparkles,alb_cold_sum,0,0
40,***Empty***,empty,0,0
41,frostspray hit/splash,alb_frostspray_hit,0,0
42,Large blue ground shockwave/circular arcs,zapsplash_hit,0,0
43,Collapsing rune ring,mid_runering_hit,0,0
44,translucent green goo drip,goodrip,0,0
45,orangish creeprot,pestilence,0,0
46,sparkly purple poison cloud,stuncloud,0,0
47,illness1,alb_illness1_hit,0,0
48,sprain1,alb_sprain_hit,0,0
49,generic spirit ruin,alb_spiritruin_hit,0,0
50,will drain,alb_willdrain_hit,0,0
51,insanity 1 hit/burn,insanity1_hit,0,0
52,Red shock rings collapsing,redringcol_hit,0,0
53,Green shock rings collapsing,grnringcol_hit,0,0
54,Purple shock rings collapsing,prpringcol_hit,0,0
55,Acidic Mist hit,alb_acidmist_hit,0,0
56,Red hand glows,alb_redsorcery_sum,0,0
57,Red Penta Splash,alb_redpenta_gat,0,0
58,Green Penta Splash,alb_grnpenta_gat,0,0
59,Body decay snare hit,alb_sprainsnare_hit,0,0
60,Green hand glows,alb_grnsorcery_sum,0,0
61,,alb_flshbane_hit,0,0
62,,alb_bldbane_hit,0,0
63,,alb_hrtbane_hit,0,0
64,,alb_soulbane_hit,0,0
65,stun effect,alb_sprainsnare_hit,0,0
66,,alb_weaken_hit,0,0
67,,alb_exhaustion_hit,0,0
68,,alb_clumsy_hit,0,0
69,growing red circle with clouds,alb_uncoord_hit,0,0
70,***Empty***,empty,0,0
71,Evil burning ,evilfire_hit,0,0
72,small pain hit flash,smpain1_hit,0,0
73,vertical red shock hit 1,redshock1_hit,0,0
74,flurry slashes,flurryslashes_hit,0,0
75,small pain hit twinkles,smpain2_hit,0,0
76,Green Star Splash,alb_grnstar_gat,0,0
77,Purple Star Splash,alb_prpstar_gat,0,0
