1000 limit,,,Use File
NIF ID,NIF Description,NIF number,Frequency
1,univ longsword propane-style flame,262,
2,univ longsword regular flame,263,
3,univ longsword orange flame,264,
4,univ longsword rising flame,265,
5,univ longsword flame w/smoke,266,
6,univ longsword flame w/sparks,267,
7,univ longsword hot glow,268,
8,univ longsword  hot aura,269,
9,univ longsword  blue aura,270,
10,univ longsword  hot blue glow,271,
11,univ longsword  hot gold glow,272,
12,univ longsword  hot red glow,273,
13,univ longsword  red aura,274,
14,univ longsword cold aura w/sparkles,275,
15,univ longsword cold aura w/vapor,276,
16, longsword hilt wavering blue beam,277,
17, longsword hilt wavering green beam,278,
18, longsword hilt wavering red beam,279,
19, longsword hilt red/blue beam,280,
20, longsword hilt purple beam,281,
21,univ 2h/gr sword yellow flames,282,
22,univ 2h/gr sword orange flames,283,
23,univ 2h/gr sword fire w/smoke,284,
24,univ 2h/gr sword fire w/sparks,285,
25,univ 2h/gr blue glow w/sparkles,286,
26,univ 2h/gr blue aura w/cold vapor,287,
27,univ 2h/gr icy blue glow,288,
28,univ 2h/gr red aura,289,
29,univ 2h/gr  strong crimson glow,290,
30,univ 2h/gr  white core red glow,291,
31,univ 2h/gr  silvery/white glow,292,
32,univ 2h/gr  gold/yellow glow,293,
33,univ 2h/gr  hot green glow,294,
34,univ 1h hammer red aura,295,
35,univ 1h hammer  fiery glow,296,
36,univ 1h hammer more intense fiery glow,297,
37,univ 1h hammer flaming,298,
38,univ 1h hammer torchlike flaming,299,
39,univ 1h hammer silvery glow,300,
40,univ 1h hammer purple glow,301,
41,univ 1h hammer blue aura,302,
42,univ 1h hammer blue glow,303,
43,univ 1h hammer arcs from head to handle,304,
44,univ 1h crush arcing halo ,305,
45,univ 1h crush center arcing,306,
46,univ 1h crush smaller arcing halo ,307,
47,univ 1h crush hot orange core glow,308,
48,univ 1h crush orange aura,309,
49,univ 1h crush subtle aura with sparks,310,
50,univ 1h crush yellow flame,311,
51,univ 1h crush mana flame,312,
52,univ 1h crush hot green glow,313,
53,univ 1h crush hot red glow,314,
54,univ 1h crush hot purple glow,315,
55,univ 1h crush cold vapor,316,
56,univ 1h axe basic flame,317,
57,univ 1h axe orange flame,318,
58,univ 1h axe slow orange flame w/sparks,319,
59,univ 1h axe fiery/trailing flame ,320,
60,univ 1h axe cold vapor,321,
61,univ 1h axe blue aura with twinkles,322,
62,univ 1h axe hot green glow,323,
63,univ 1h axe hot blue glow,324,
64,univ 1h axe hot cyan glow,325,
65,univ 1h axe hot purple glow,326,
66,univ 1h axe blue->purple->orange glow,327,
67,univ shortsword propane flame,328,
68,univ shortsword orange flame with sparks,329,
69,univ shortsword blue aura with twinkles,330,
70,univ shortsword green cloud with bubbles,331,
71,univ shortsword red aura with blood bubbles,332,
72,univ shortsword evil green glow,333,
73,univ shortsword black glow,334,
74,Midgard battlespear cold with twinkles,339,
75,Midgard battlespear evil green aura,340,
76,Midgard battlespear evil red aura,341,
77,Midgard battlespear flaming,342,
78,Midgard battlespear hot gold glow,343,
79,Midgard battlespear hot fire glow,344,
80,Midgard battlespear red aura,345,
81,Midgard lugged spear blue glow,346,
82,Midgard lugged spear hot blue glow,347,
83,Midgard lugged spear cold with twinkles,348,
84,Midgard lugged spear electric arcing,349,
85,Midgard lugged spear hot yellow flame,350,
86,Midgard lugged spear orange flame w/ sparks,351,
