,,0,1,2,3,4,5,6,7,8,9
ID,name,Icon,Animation,Imagenum,Duration,Buildup,Red,Green,Blue,Hit Effect,anytime style
1,Style #1,600,42,10,1000,400,255,255,255,0,
2,Style #2,600,43,10,1000,400,255,255,255,0,
3,1H crush #1,612,42,10,1000,400,252,255,5,0,
4,1H crush #2,613,43,10,1533,400,252,255,5,0,
5,1H slash #1,608,44,10,933,400,74,148,224,0,
6,1H slash #2,608,45,10,933,400,74,148,224,0,
7,Polearm #1,640,46,10,933,400,255,255,255,0,
8,Polearm #2,641,47,10,1000,400,255,255,255,0,
9,2 Handed #1,664,48,10,1066,400,215,67,237,0,
10,2 Handed #2,664,49,10,1466,400,215,67,237,0,
11,Dual Wield 1,636,50,10,1133,400,255,141,57,0,
12,Dual Wield 2,636,51,10,1200,400,255,141,57,0,
13,Dual Wield 3,637,52,10,1533,400,255,141,57,0,
14,1H slash 3,609,54,10,1466,400,74,148,224,0,
15,2 Handed 3,665,53,10,1400,400,215,67,237,0,
16,1H thrust 1,624,55,10,1733,400,206,73,235,0,
17,1H thrust 2,624,56,10,1533,400,206,73,235,0,
18,1H thrust 3,625,62,10,2000,400,206,73,235,0,
19,1H Slash 4,610,60,10,1066,400,74,148,224,0,
20,1H crush 3,614,61,10,1600,400,252,255,5,0,
21,Dual Wield 4,638,63,10,1466,400,215,67,237,0,
22,2H 4,666,64,10,1666,400,215,67,237,0,
23,Shield 1,676,69,10,1000,400,255,255,255,0,
24,Staff 1,644,70,10,1666,400,70,186,75,0,
25,staff 2,645,71,10,1266,400,70,186,75,0,
26,staff 3,646,72,10,1666,400,70,186,75,0,
27,staff 4,647,73,10,1533,400,70,186,75,0,
28,1h Crush 4,614,74,10,1533,400,252,255,5,0,
29,1h Crush 5,615,76,10,1133,400,252,255,5,0,
30,1h Slash 5,610,75,10,1066,400,74,148,224,0,
31,1h Slash 6,611,77,10,1066,400,74,148,224,0,
32,1h Thrust 4,626,78,10,1933,400,206,73,235,0,
33,1H thrust 5,627,79,10,1733,400,206,73,235,0,
34,2H 5,666,80,10,1600,400,215,67,237,0,
35,2H 6,667,81,10,1266,400,215,67,237,0,
36,DW 5,639,82,10,1333,400,255,141,57,0,
37,Eviscerate,669,83,10,1000,400,1,206,63,0,
38,Kidney Stab,669,84,10,1000,400,1,206,63,0,
39,Backstab,668,85,10,1000,400,1,206,63,0,
40,jump/slash,670,86,10,2066,400,1,206,63,0,
41,Garotte,670,87,10,1666,400,1,206,63,0,
42,Hamstring,670,88,10,1666,400,1,206,63,0,
43,Thigh Cut,671,89,10,1733,400,1,206,63,0,
44,Leaper,671,90,10,1600,400,1,206,63,0,
45,norse axe 1,672,44,10,933,400,70,186,224,0,
46,norse axe 2,672,45,10,933,400,70,186,224,0,
47,norse axe 3,673,54,10,1466,400,70,186,224,0,
48,norse axe 4,673,60,10,1066,400,70,186,224,0,
49,norse axe 5,674,75,10,1066,400,70,186,224,0,
50,norse axe 6,675,42,10,1066,400,70,186,224,0,
51,norse hammer 1,660,43,10,933,400,252,255,5,0,
52,norse hammer 1,663,44,10,933,400,252,255,5,0,
53,norse hammer 1,661,61,10,933,400,252,255,5,0,
54,norse hammer 1,661,74,10,933,400,252,255,5,0,
55,norse hammer 1,662,76,10,933,400,252,255,5,0,
56,Ruby Slash,600,45,10,933,400,70,186,75,0,
57,Cross Slash,601,44,10,933,400,70,186,75,0,
58,Uppercut,602,45,10,933,400,70,186,75,0,
59,Enrage,603,45,10,933,400,29,119,255,0,
60,Bloodletter,604,44,10,933,400,29,119,255,0,
61,Reflect,605,44,10,933,400,29,119,255,0,
62,Opal Slash,606,44,10,933,400,252,255,5,0,
63,Riposte,607,44,10,933,400,252,255,5,0,
64,Side Slicer,608,45,10,933,400,252,255,5,0,
65,Cleave,609,44,10,933,400,249,15,54,0,
66,Amethyst Slash,610,45,10,933,400,249,15,54,0,
67,Befuddler,611,45,10,933,400,249,15,54,0,
68,Back Slash,612,44,10,933,400,206,73,235,0,
69,Sapphire Slash,613,45,10,933,400,206,73,235,0,
70,Diamond Slash,614,44,10,933,400,206,73,235,0,
71,Daze,615,42,10,1066,400,70,186,75,0,
72,Back Crush,619,43,10,1533,400,70,186,75,0,
73,Maul,616,43,10,1533,400,70,186,75,0,
74,Bludgeon,617,42,10,1066,400,29,119,255,0,
75,Bruiser,629,43,10,1533,400,29,119,255,0,
76,Concussion,620,43,10,1533,400,29,119,255,0,
77,Contusions,618,43,10,1533,400,252,255,5,0,
78,Blackjack,621,43,10,1533,400,252,255,5,0,
79,Protector,622,42,10,1066,400,252,255,5,0,
80,Divine Hammer,623,42,10,1066,400,249,15,54,0,
81,Skull Breaker,624,43,10,1533,400,249,15,54,0,
82,Side Crush,625,42,10,1066,400,249,15,54,0,
83,Bone Crusher,626,43,10,1533,400,206,73,235,0,
84,Body Masher,627,43,10,1533,400,206,73,235,0,
85,Devastate,628,42,10,1066,400,206,73,235,0,
