Information,, ,,,Expansion,Expansion,Expansion,Cata,Cata,Cata
ID,Textual Name,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,White,255,255,255,255,255,255,255,255,255
1,Old Red,255,128,64,255,128,64,255,128,64
2,Old Green,128,255,128,128,255,128,128,255,128
3,Old Blue,128,200,255,128,200,255,128,200,255
4,Old Yellow,228,228,150,228,228,150,228,228,150
5,Old Purple,255,170,255,255,170,255,255,170,255
6,Gray,128,128,128,128,128,128,128,128,128
7,Old Turquoise,128,255,255,128,255,255,128,255,255
8,Leather Yellow,255,243,63,255,243,63,255,243,63
9,Leather Red,222,84,84,222,84,84,222,84,84
10,Leather Green,143,195,152,143,195,152,143,195,152
11,Leather Orange,255,193,93,255,193,93,255,193,93
12,Leather Violet,152,109,144,152,109,144,152,109,144
13,Leather Forest Green,143,195,152,143,195,152,143,195,152
14,Leather Blue,123,185,255,123,185,255,123,185,255
15,Leather Purple,123,123,255,123,123,255,123,123,255
16,Bronze,200,164,110,200,164,110,200,164,110
17,Iron,125,126,133,125,126,133,125,126,133
18,Steel,112,140,151,112,140,151,112,140,151
19,Alloy,123,113,97,123,113,97,123,113,97
20,Fine Alloy,173,159,137,173,159,137,173,159,137
21,Mithril,164,207,184,164,207,184,164,207,184
22,Asterite,210,155,51,210,155,51,210,155,51
23,Eog,156,193,127,156,193,127,156,193,127
24,Xenium,216,77,77,216,77,77,216,77,77
25,Vaanum,213,211,159,213,211,159,213,211,159
26,Adamantium,20,20,60,20,20,60,20,20,60
27,Red Cloth,223,0,41,223,0,41,223,0,41
28,Orange Cloth,231,101,26,231,101,26,231,101,26
29,Yellow-Orange Cloth,238,156,0,238,156,0,238,156,0
30,Yellow Cloth,249,244,0,249,244,0,249,244,0
31,Yellow-Green Cloth,125,198,34,125,198,34,125,198,34
32,Green Cloth,0,176,59,0,176,59,0,176,59
33,Blue-Green Cloth,0,159,98,0,159,98,0,159,98
34,Turquoise Cloth,0,164,158,0,164,158,0,164,158
35,Light Blue Cloth,0,178,235,0,178,235,0,178,235
36,Blue Cloth,0,105,179,0,105,179,0,105,179
37,Blue-Violet Cloth,50,67,149,50,67,149,50,67,149
38,Violet Cloth,61,17,123,61,17,123,61,17,123
39,Bright Violet Cloth,102,9,123,102,9,123,102,9,123
